"Label","ID","Detection quality","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot median intensity","Spot median intensity","Spot position","Spot position","Spot position","Spot radius","Spot sum intensity","Spot sum intensity","Spot track ID","Track N spots","adaxial","somite 1"
"",""," "," "," ","Mean ch0","Mean ch1","Std ch0","Std ch1","Median ch0","Median ch1","X","Y","Z"," ","Median ch0","Median ch1"," "," ","Tag","Tag"
"","","","","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(micron)","(Counts)","(Counts)","","","",""
"42","42","","1","60","1332.1959690398946","113.74123387944942","150.05240196653162","6.252454086614889","1375.0","114.0","472.03197043484266","470.69713657960824","30.721527301942654","2.8966437973668793","771991.0","66058.0","150","61","0","1"
"43","43","","1","60","1212.8073148406634","111.38813526630632","166.33194656245843","5.270004337256896","1243.0","111.0","476.9665372747348","478.3793233872927","29.560724344710696","2.8966437973668793","696411.0","63937.0","45","108","0","1"
"44","44","","1","60","1248.998717691707","111.8566110186942","171.0802217133256","5.369105307351979","1296.0","111.0","470.647180087727","462.51144898604167","32.380510060007545","2.8966437973668793","723105.0","64880.0","60","61","0","1"
"45","45","","1","60","1400.1371249575664","110.71989826855375","231.6814173190776","5.025309104321598","1435.5","111.0","467.0667612164794","454.8755831341783","32.380510060007545","2.8966437973668793","814054.0","64272.0","118","61","0","1"
"46","46","","1","60","1180.7109047808647","109.93316140774988","229.48663093150122","4.475771602110256","1255.5","110.0","479.6837744835114","484.26912902657324","26.239206486855405","3.504938994813924","1144381.0","108778.0","45","108","0","1"
"47","47","","1","60","1219.9611404055931","107.73467927097361","223.6170519682772","4.057340065271106","1293.0","107.0","486.9322221999872","483.2852921277224","25.903348282904535","3.504938994813924","1204463.0","107457.0","13","61","0","1"
"48","48","","1","60","986.1633212750186","110.66670451299812","239.20434834747905","4.944497472446706","1087.5","110.5","496.19938432910686","483.55596999598123","26.031960505098294","3.504938994813924","943453.0","108769.0","145","66","0","1"
"49","49","","1","60","1027.8236722811162","109.98174277217741","255.29519281229813","4.973504019346258","1117.0","109.0","505.19482892045033","481.46391134581137","26.856501113868138","3.504938994813924","1027845.0","111921.0","124","61","0","1"
"50","50","","1","60","1093.7477993570433","121.50426259572583","139.62603710325055","8.00828944116456","1136.0","122.0","512.370808912604","473.55589516589447","25.197821464186664","2.8966437973668793","618791.0","68861.0","154","61","0","1"
"51","51","","1","60","1305.333039362215","158.95100081187303","207.21644359132426","14.158300795477086","1409.5","162.5","517.7720795979465","468.2550216962633","25.861252909608133","2.8966437973668793","740666.0","90145.0","10","61","0","1"
"52","52","","2","56","1115.2222306413323","203.689461777962","202.40601968316128","28.842339244201597","1225.0","216.0","519.5147464143125","456.0230908720568","34.19152824325184","2.8966437973668793","621064.0","113295.0","7","61","0","1"
"53","53","","1","60","1155.2224943694844","130.57826234012617","177.75047255176796","13.307087442287783","1229.0","128.5","499.8212706670512","444.98279518327985","25.695900228891812","2.8966437973668793","637250.0","71680.0","151","103","0","1"
"54","54","","2","55","1187.2508521429293","114.88605230946713","230.99384120652442","5.974414028177716","1246.0","115.0","491.41833343951777","457.92991218387584","20.66440863784871","2.3939204936916356","382977.0","37063.0","14","99","0","1"
"55","55","","1","60","1174.250700509711","138.17524560878294","251.0071836441663","14.147603998624044","1190.0","137.0","507.4181698765256","453.770313973321","24.701561349782086","2.8966437973668793","673185.0","80232.0","48","61","0","1"
"56","56","","1","60","1183.2316153100141","170.22951433354163","242.38440390136847","21.627668303936098","1259.0","170.0","515.9017686885666","453.34976689011336","31.819733489567042","3.504938994813924","1163828.0","169651.0","106","61","0","1"
"57","57","","1","60","1432.6595140900627","172.5665317606877","173.46375175350548","18.72734187126517","1496.0","173.0","511.6883766291409","449.3856715277557","35.928154457278346","2.5107649955996445","533683.0","63974.0","33","61","0","1"
"58","58","","1","60","991.787600780126","169.36059033065592","149.9623064669472","22.75557355235111","1018.0","173.0","507.5407393904102","442.8502925407378","35.207250667690516","2.8966437973668793","572783.0","97629.0","127","72","0","1"
"59","59","","1","60","1202.3828765992143","159.974583551026","152.54188422173632","16.021267348697904","1245.0","163.0","515.1069962214135","471.05884225978804","32.72009000025467","2.8966437973668793","671121.0","89467.0","99","61","0","1"
"60","60","","1","60","991.559237459587","118.91151095342481","172.7067575300207","7.838967210673611","1079.0","119.0","516.417931629302","477.8165618410155","52.43739199023892","3.8554328942953164","1325710.0","160182.0","131","61","0","1"
"61","61","","1","60","1189.130956381302","170.34516045866994","130.29889844372306","22.488351755283897","1216.5","169.0","517.799970969467","447.86180860618464","51.77476883383993","2.8966437973668793","691856.0","98513.0","110","61","0","1"
"62","62","","1","60","1117.0378195910218","191.59320843623874","120.28835178607245","27.384369177510347","1151.5","196.0","511.4527224109388","440.4342331950422","51.60891097248457","2.8966437973668793","658192.0","112711.0","120","61","0","1"
"63","63","","1","60","1097.8524458327054","124.14985001204123","200.80635718720546","8.666726705655766","1170.0","124.0","524.8284200227436","462.56935194441013","50.945580563190916","2.8966437973668793","585249.0","66934.0","109","89","0","1"
"64","64","","1","60","972.4563699039247","120.84800854671951","160.6708379047506","7.675274192078954","1028.0","119.0","521.6840626184752","473.59011988156084","52.09776328670947","2.8966437973668793","551235.0","68940.0","46","64","0","1"
"65","65","","1","60","847.4321110624071","110.97839284134389","102.70404074866089","5.289621143490216","867.5","111.0","511.2130853970711","483.23742597687277","55.08280064659483","2.8966437973668793","487645.0","63637.0","142","61","1","0"
"66","66","5.415986228888575","2","53","1292.9387627435297","114.34590690502134","167.5824716089033","6.287336156962354","1360.0","113.0","490.65627256840645","455.16986867749034","25.901832888308988","2.0750123930575577","264079.0","23496.0","14","99","0","1"
"67","67","","1","60","893.2279058768412","111.67470086532715","114.19069699533648","5.3481715042950455","899.5","111.0","499.2653906931381","482.6847913964442","56.73353667662106","2.8966437973668793","494496.0","62190.0","51","61","1","0"
"68","68","","1","60","1090.1620689764682","109.64757688722273","138.06460607359043","4.827415396305826","1120.5","110.0","492.32886877527494","481.6981498090101","54.74334337648447","2.8966437973668793","628988.0","63634.0","57","61","1","0"
"69","69","","1","60","1116.062191218442","109.40072050758484","242.38115910071497","4.593825281397009","1208.5","109.0","492.3288687752749","476.664379117497","19.984245277799694","3.8554328942953164","1448290.0","144935.0","24","61","0","1"
"70","70","","1","60","1081.7952300751258","128.7502622458229","254.00800517577315","8.638466830939493","1188.0","129.0","505.9034298049155","465.340588162433","40.42280729866222","3.3418282091431273","929486.0","111844.0","103","63","0","1"
"71","71","448.2245733289514","2","59","1107.7279517872505","129.53031782605785","321.15305193135356","9.503315150862282","1140.5","129.0","507.16985543805527","464.0186742761567","43.16447630708165","3.3418282091431273","912782.0","110676.0","103","63","0","1"
"72","72","487.01471975758915","3","58","1192.903576789299","130.9589512141828","215.49706537668072","8.355933450574645","1255.5","131.0","510.09309002596416","459.96417204430975","42.96065269500898","3.3418282091431273","1040779.0","113671.0","103","63","0","1"
