"Label","ID","Detection quality","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot median intensity","Spot median intensity","Spot position","Spot position","Spot position","Spot radius","Spot sum intensity","Spot sum intensity","Spot track ID","Track N spots","Adaxial","Somite1","other"
"",""," "," "," ","Mean ch0","Mean ch1","Std ch0","Std ch1","Median ch0","Median ch1","X","Y","Z"," ","Median ch0","Median ch1"," "," ","Tag","Tag","Tag"
"","","","","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(micron)","(Counts)","(Counts)","","","","",""
"39","39","","1","60","1197.3771739334","135.66469217570304","446.45361347688674","21.058219257032622","1222.0","130.0","602.1761167855974","386.0142138956421","110.30043204716932","3.03802564467557","797892.0","90905.0","71","108","0","1","0"
"40","40","","1","60","1238.9337166173184","132.52578902300183","328.47510057972033","9.63088113713687","1252.0","133.0","609.5487001704398","385.91968133274213","104.88466514576959","2.393920493691635","412924.0","44128.0","160","61","0","1","0"
"41","41","","1","60","1453.6862169173214","118.17924090422464","251.6711066779678","6.770249891876699","1539.0","118.0","598.0696414899553","385.03420318681236","100.80861819754237","2.393920493691635","478371.0","38521.0","79","61","0","1","0"
"42","42","","1","60","1421.0653311442877","106.6460237421809","279.7258614758619","3.760131987082103","1467.0","106.0","591.5467327434272","385.03939297788577","101.11660393866859","2.393920493691635","435223.0","31956.0","128","61","0","1","0"
"43","43","","1","60","1633.6510228559407","145.1533107248574","319.8364623278594","13.519962821024805","1659.0","147.0","617.635250711154","384.3811589614823","110.05994578506761","2.393920493691635","513552.0","44487.0","26","61","0","1","0"
"44","44","","1","60","1400.0044157775721","132.28213119761088","220.794325471338","10.537303348186537","1488.0","134.0","618.3160916135892","384.9607041863245","116.8614588971454","2.393920493691635","471611.0","43970.0","148","61","0","1","0"
"45","45","","1","60","1409.8100762361703","122.36322675407494","235.73939973832267","8.281681819488764","1549.0","122.0","622.3164052887636","388.02757777187566","113.20225738582864","2.393920493691635","440182.0","37366.0","3","61","0","1","0"
"46","46","","2","33","1668.8699340652247","115.33371182587962","244.84621484384593","6.196094111865065","1591.0","114.0","544.8734886895776","398.4782554353657","142.5616873740201","2.1762913579014866","412977.0","28705.0","184","61","0","1","0"
"47","47","","2","52","1378.4108873001978","159.6942517794355","287.2514726493004","22.16556275297859","1468.0","161.0","585.9121534850622","392.0357849166975","116.86730882382201","2.393920493691635","463007.0","52846.0","160","61","0","1","0"
"48","48","","1","60","1382.8220978576721","138.63700721850864","215.65068400408163","13.4664005574343","1423.0","138.0","610.6019263682743","386.50788394634225","138.58277031003456","2.393920493691635","440630.0","43303.0","34","61","0","1","0"
"49","49","452.4925954645312","2","28","1048.8419171304263","108.47865593949085","227.713035521341","4.383196269844004","1103.0","108.0","535.4847923790713","394.08856289624345","165.08561670001723","2.6333125430607995","447299.0","46412.0","43","97","0","1","0"
"50","50","","1","60","1307.318099460642","112.85846017845354","223.08374384207085","5.344542001375665","1342.0","113.0","597.662290223449","382.9344235577836","142.7082080232025","2.393920493691635","433799.0","37247.0","64","61","0","1","0"
"51","51","","1","60","1064.8331518753796","112.11818307128078","170.69867699559902","5.416885203923491","1125.0","112.0","606.6899433477457","393.63678043115203","140.86607583610257","2.393920493691635","360663.0","37581.0","38","61","0","1","0"
"52","52","","1","60","1319.2345551889955","111.16442313582917","218.06680994359525","4.7088029602384935","1430.0","111.0","603.9142848596156","392.7639699966521","129.79009747091345","2.2825136323633135","340766.0","27909.0","32","61","0","1","0"
"53","53","","1","60","1302.0266244936975","161.70856414802947","244.51693855895988","23.17662087322236","1439.5","166.5","613.7910522239952","377.9967215581917","129.87530385851045","2.2825136323633135","344259.0","41470.0","14","94","0","1","0"
"54","54","","1","60","1335.3364103751053","137.49278632311245","242.99510402458395","9.247927377709948","1402.5","137.5","598.8231704266191","370.568248420823","130.2663135487576","2.2825136323633135","389098.0","39603.0","1","61","0","1","0"
"55","55","","2","58","1063.876996259482","108.07393110704203","117.14115369798238","3.859860278174731","1096.0","108.0","615.550475044201","402.33779769416236","151.53255412636432","2.393920493691635","354547.0","35761.0","59","61","1","0","0"
"56","56","","1","60","1154.0132072777958","114.683010977897","137.29367673320874","5.357076293417154","1185.0","115.0","586.6248918359255","369.67595373834445","131.66384825325264","2.2825136323633135","328393.0","32524.0","174","61","0","1","0"
"57","57","","1","60","1403.3580939484145","108.77003607432232","259.3748256236714","4.418905246056481","1444.5","109.0","572.9849654917789","380.47754151689173","131.9580431435188","2.2825136323633135","406852.0","31529.0","157","61","0","1","0"
"58","58","","1","60","1424.680207717742","108.5480819029291","185.26606147627174","4.328489139067418","1511.0","108.0","579.0294903022605","398.8407156419292","133.65262507804886","2.2825136323633135","421132.0","31441.0","47","61","0","1","0"
"59","59","","1","60","1626.692465937723","135.56727063040586","269.7290028934363","9.618624689409359","1686.5","136.0","580.1495348159473","410.85541169425613","133.4234122790444","2.2825136323633135","475355.0","39189.0","27","61","0","1","0"
"60","60","","1","60","1303.8462356570835","108.9606747222555","252.21918364206715","4.621536452852317","1352.5","109.0","587.0734537553295","405.3548962515143","133.3984822193337","2.2825136323633135","377172.0","31479.0","29","61","0","1","0"
