Looping,Looping,Looping,Looping,Looping,Looping,Mesp,Mesp,Mesp,Mesp,Mesp,Mesp
416_16(2),416_41(4),416_40(6),416_11(6),416_47(5),416_30(6),416_16(2),416_41(4),416_40(6),416_11(6),416_47(5),416_30(6)
1160.048694,1140.341928,2203.423177,1421.955951,1153.542427,1247.02734,1995.543943,1445.5,1002.623698,1025.604499,1231.139635,1545.596215
1129.267184,1107.007634,1817.838961,1607.567625,1150.369989,1174.102378,1903.600887,1416.824427,997.4922078,1013.520767,1228.064147,1536.044467
1113.105991,1140.636571,1530.438202,1659.842105,1142.578709,1176.574512,1966.46659,1477.490286,1029.453184,1052.575439,1255.668177,1614.727646
1133.318343,1145.281971,1382.192513,1578.72,1150.431466,1187.083333,2022.568047,1437.873166,1091.926471,1085.284706,1284.691299,1695.818376
1119.977324,1130.728492,1210.288486,1417.422737,1143.528409,1174.289612,1920.654195,1459.681564,1123.368693,1090.467991,1235.817045,1671.497377
1139.096933,1147.096045,1160.795839,1341.861588,1147.794984,1199.279018,2026.711656,1495.667797,1249.706112,1121.670601,1266.727372,1823.367188
1149.880305,1157.263345,1155.901356,1264.547516,1135.541618,1172.483458,1925.858542,1533.404508,1258.954377,1143.758099,1268.902696,1831.263607
1114.526984,1125.722995,1131.537353,1223.953795,1121.416386,1173.128327,1839.860317,1471.962567,1361.416776,1170.948295,1225.20651,1704.489544
1145.297362,1130.676503,1124.547771,1190.547133,1170.463104,1171.724873,2017.832134,1506.514754,1449.819108,1163.080661,1331.445293,1827.938071
1135.25784,1115.27689,1109.954897,1184.186364,1135.228916,1161.372881,1918.954704,1458.13738,1460.020619,1261.575,1230.845564,1820.920239
1132.685185,1128.143678,1134.158028,1204.119859,1152.982739,1174.101156,2012.871605,1556.073563,1519.02402,1315.972973,1287.87687,1823.262042
1155.845752,1130.70297,1122.287938,1191.748276,1142.901695,1187.307385,2114.035294,1510.570957,1609.894942,1368.366667,1282.630508,1863.051896
1116.124449,1142.045405,1106.296199,1146.437916,,1180.370656,1881.602423,1503.447568,1660.262123,1359.707317,,1842.573359
1148.082682,1124.933484,1135.48631,1184.165673,,1155.023033,1902.830168,1567.989853,1747.560626,1486.061979,,1839.666027
,1121.865687,1115.066002,1181.245487,,1158.91092,,1488.804827,1713.107098,1491.590854,,1791.941571
,1146.936508,1119.589263,1165.919355,,1179.976362,,1548.336735,1802.441948,1495.411828,,1964.725591
,1129.940314,1130.94357,1178.133175,,,,1499.988482,1854.019685,1579.511296,,
,,1115.811933,1157.382564,,,,,1879.022049,1501.694359,,
,,1121.971069,1167.55436,,,,,1882.74717,1607.74704,,
,,1117.045213,1166.294245,,,,,1948.783245,1568.70684,,
,,1119.177461,1183.622857,,,,,1952.944301,1700.157714,,
,,1134.353947,1174.450331,,,,,1980.784211,1661.005519,,
,,1102.202989,1184.670846,,,,,1954.354919,1684.897597,,
,,1123.525469,1163.726251,,,,,2037.549598,1638.342186,,
,,,1189.273367,,,,,,1665.293467,,
,,,1166.844311,,,,,,1644.308383,,
,,,1142.918367,,,,,,1646.241983,,
,,,1163.424939,,,,,,1873.822034,,
,,,1143.335911,,,,,,1528.92354,,
,,,1175.981409,,,,,,1685.609589,,
