"Label","ID","Detection quality","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot median intensity","Spot median intensity","Spot position","Spot position","Spot position","Spot radius","Spot track ID","Track N spots","TB","TB to PSM","TB to Somite","checked","other"
"",""," "," "," ","Mean ch0","Mean ch1","Std ch0","Std ch1","Median ch0","Median ch1","X","Y","Z"," "," "," ","Tag","Tag","Tag","Tag","Tag"
"","","","","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(micron)","","","","","","",""
"2967","2967","","2","18","143.8135122517516","4465.493200148002","9.569002759375268","216.69078046893867","144.0","4399.0","348.0000302618091","499.1140279575199","135.1924951605465","1.6927574147108069","0","145","0","1","0","1","0"
"2968","2968","","2","19","140.11959667588079","4488.962584208218","10.553959973394193","215.63331731328734","140.0","4480.0","345.2387313736085","498.9395413753013","135.3825288981131","1.6927574147108069","0","145","0","1","0","1","0"
"2969","2969","","2","20","139.7703023693747","4179.356320647602","8.749829432432099","213.90315618476023","140.0","4155.0","343.39691257528534","499.6060345152742","135.5229237893244","1.6927574147108069","0","145","0","1","0","1","0"
"2970","2970","","2","21","141.49909298171838","3635.274917109282","8.507917296426646","128.57214729769805","141.0","3647.0","340.8103471863073","498.78836128882597","133.54521647662116","1.6927574147108069","0","145","0","1","0","1","0"
"2971","2971","","2","22","143.64176616246306","3545.736167772991","10.047723329922226","164.01053767297554","144.0","3577.0","339.3894902828463","497.3590429716272","133.61966160159062","1.6927574147108069","0","145","0","1","0","1","0"
"2972","2972","","2","23","142.9843366664844","3660.583072937234","9.345848561118682","146.42625720151136","142.0","3682.0","338.55379419786004","496.4343941843379","133.66198438019765","1.6927574147108069","0","145","0","1","0","1","0"
"2973","2973","","2","24","143.76450319234212","3515.763943180174","9.024168703198987","150.11536807425142","145.0","3516.0","337.79820675103446","498.44551536898","133.7498560605574","1.6927574147108069","0","145","0","1","0","1","0"
"2974","2974","","2","25","144.32005333687724","3713.9022380214733","10.732183480161993","145.4610231196923","145.0","3727.0","337.3801034747406","498.1928742417957","133.77468862829846","1.6927574147108069","0","145","0","1","0","1","0"
"2975","2975","","2","26","149.28656986945677","3841.2121740259413","10.3256401135583","151.0118678937906","149.0","3877.0","336.6268641788818","498.2749093750025","133.82878546703256","1.6927574147108069","0","145","0","1","0","1","0"
"2976","2976","","2","27","150.99593856710035","3848.4274228045365","10.69927019620497","190.83773406783163","150.0","3946.0","333.54625586484246","498.3009133629062","132.87206966009649","1.6927574147108069","0","145","0","1","0","1","0"
"2977","2977","","2","28","156.42253617368723","3902.9663340771963","11.836134286399384","183.94413480057855","157.0","3954.0","332.4804972569429","498.78610410097883","132.2758317108013","1.6927574147108069","0","145","0","1","0","1","0"
"2978","2978","","2","29","155.33098780392254","3944.6812523159883","10.926411264452742","192.66032120257512","154.0","3978.0","330.13679117743465","499.28362517886524","132.44837523750192","1.6927574147108069","0","145","0","1","0","1","0"
"2979","2979","","2","30","154.965501606461","3838.5481538218773","11.580875287512079","196.4013251445457","157.0","3857.0","328.14477951738195","499.5976818618015","131.91763959044707","1.6927574147108069","0","145","0","1","0","1","0"
"2980","2980","","2","31","156.20694343765823","4066.9997717468864","10.95633915497586","195.15412257765524","156.0","4058.0","325.96762051245327","500.7665978753338","132.09023569540145","1.6927574147108069","0","145","0","1","0","1","0"
"2981","2981","","2","32","155.6911041098217","3768.1413192518985","12.009531218356418","208.6674856953283","155.0","3708.0","326.719124218467","502.11040895405745","132.06110287004282","1.6927574147108069","0","145","0","1","0","1","0"
"2982","2982","","2","33","150.66649203485989","3787.968680164038","10.114788684929922","187.3526082945269","149.0","3790.0","327.1364107465985","503.0340365339149","132.04801807330196","1.6927574147108069","0","145","0","1","0","1","0"
