Label,ID,Detection quality,Spot N links,Spot frame,Spot gaussian-filtered intensity,Spot gaussian-filtered intensity,Spot gaussian-filtered intensity,Spot gaussian-filtered intensity,Spot median intensity,Spot median intensity,Spot position,Spot position,Spot position,Spot radius,Spot track ID,Track N spots,TB,TB to PSM,TB to Somite,checked,other
,, , , ,Mean ch0,Mean ch1,Std ch0,Std ch1,Median ch0,Median ch1,X,Y,Z, , , ,Tag,Tag,Tag,Tag,Tag
,,,,,(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(micron),(micron),(micron),(micron),,,,,,,
32,32,667.6392716,2,42,146.8098288,3226.69325,10.07925698,154.5831656,121,1581,355.1195023,487.0814599,115.4342814,1.467255334,0,210,0,0,1,1,0
33,33,757.1209654,2,43,148.5537556,3234.686517,9.91874041,191.7837064,121,1591,356.5460977,487.4551221,115.5784662,1.467255334,0,210,0,0,1,1,0
34,34,863.6352356,2,44,153.9304755,3387.825976,11.58092788,218.1397553,119,1526,356.6081314,488.0465423,116.1487424,1.467255334,0,210,0,0,1,1,0
35,35,745.3404723,2,45,156.7795783,3232.318958,12.41354862,153.0234296,117,1413,357.1651505,488.3330653,116.1471903,1.467255334,0,210,0,0,1,1,0
36,36,668.44401,2,46,163.375886,3110.969802,12.33577471,159.2982554,119,1570,357.1585687,488.658622,116.0441419,1.467255334,0,210,0,0,1,1,0
37,37,539.448375,2,47,162.0791052,2941.115528,12.31879275,163.4165179,117,1599,357.5145969,490.7695169,116.2312304,1.862033156,0,210,0,0,1,1,0
38,38,529.1185632,2,48,165.7246684,3046.845864,15.58558124,142.4090708,164,2963,357.0755233,491.2155793,116.399987,1.775378954,0,210,0,0,1,1,0
39,39,672.9337294,2,49,172.663657,3199.427918,15.52079482,175.7442403,120,1652,356.847371,491.3327609,116.3371539,1.862033156,0,210,0,0,1,1,0
40,40,746.3759085,2,50,183.8754254,3279.80611,14.63535643,216.1778636,120,1600,356.2615881,491.0218148,116.2984523,1.862033156,0,210,0,0,1,1,0
41,41,620.6033497,2,51,177.5005878,3099.000327,15.93454087,213.5370367,119,1651,355.6323857,491.2571873,115.8379079,1.862033156,0,210,0,0,1,1,0
42,42,586.2591385,2,52,174.1237123,3027.48804,14.21166168,198.3091081,120,1591,355.6896888,490.8253873,116.1024909,1.862033156,0,210,0,0,1,1,0
43,43,587.8171782,2,53,175.1311392,3029.435553,14.82893967,208.2707203,119,1698,356.2522033,491.8410103,116.6010769,1.862033156,0,210,0,0,1,1,0
44,44,569.7371926,2,54,167.8894679,3001.87131,15.3121126,185.8729924,119,1622,355.7879311,490.644962,116.0547239,1.862033156,0,210,0,0,1,1,0
45,45,590.669322,2,55,161.5378742,3033.871241,13.54745063,210.2911567,121,1770,356.0495717,491.2671699,115.4533613,1.862033156,0,210,0,0,1,1,0
46,46,580.1577304,2,56,161.624106,2963.658359,14.14417086,203.1531861,121,1745,355.8377847,490.8706241,115.3052559,1.862033156,0,210,0,0,1,1,0
47,47,611.7884702,2,57,159.4158351,3039.856546,12.57808361,218.0559409,119,1854,355.2971154,490.4016885,115.9053972,1.862033156,0,210,0,0,1,1,0
48,48,682.5848084,2,58,164.048342,3236.306283,13.46052656,210.4709222,118,1714,355.2759812,491.035793,117.0524931,1.862033156,0,210,0,0,1,1,0
49,49,713.5122685,2,59,158.1939196,3279.430482,13.90562299,252.987105,117,1727,354.7838412,492.2886604,117.6684036,1.862033156,0,210,0,0,1,1,0
50,50,,2,60,156.3873443,3217.319285,11.72169248,192.7083921,117,1683,355.2469036,492.5537521,117.8466594,1.862033156,0,210,0,0,1,1,0
51,51,,2,61,157.188876,3362.461286,11.88258315,242.8800012,155,3244,354.8542459,492.9235816,119.9477975,1.775378954,0,210,0,0,1,1,0
52,52,,2,62,153.7914308,3151.597884,12.62040543,164.9963999,152,3150,355.855801,494.5511086,119.9477975,1.775378954,0,210,0,0,1,1,0
53,53,,2,63,160.1165007,3263.020519,11.83997956,188.5569819,160,3216,355.2924262,494.9266917,119.9477975,1.775378954,0,210,0,0,1,1,0
54,54,,2,64,160.8893216,3296.309346,11.84049998,202.7499747,158,3190,355.0420375,495.4274693,119.9477975,1.775378954,0,210,0,0,1,1,0
55,55,,2,65,166.6903846,3155.314078,13.53105521,150.1193025,165,3098,355.7306066,495.3022749,119.9477975,1.775378954,0,210,0,0,1,1,0
56,56,,2,66,171.7467215,3028.892359,15.21172177,141.4769998,167,3004,356.5443701,495.3648721,119.9477975,1.775378954,0,210,0,0,1,1,0
57,57,,2,67,178.9266599,3079.064356,16.11418866,184.7930417,175,2998,356.2400209,495.3131048,120.9355765,1.775378954,0,210,0,0,1,1,0
58,58,,2,68,186.2888197,3047.450455,18.79723609,150.2121078,180,3044,357.4784747,496.3345703,120.5556615,1.775378954,0,210,0,0,1,1,0
59,59,,2,69,194.2640275,3001.188259,24.19757727,156.9719799,187,2998,357.021951,496.3027135,121.1635255,1.775378954,0,210,0,0,1,1,0
60,60,,2,70,201.2007838,3093.956669,18.07534298,146.8617413,195,3056,356.1898442,497.0806381,121.8473725,1.775378954,0,210,0,0,1,1,0
61,61,,2,71,204.761581,3202.143264,15.74759379,200.588449,202,3133,356.2151325,497.6720294,122.2079615,1.775378954,0,210,0,0,1,1,0
62,62,,2,72,209.8202784,3230.046068,20.52688429,193.6815246,208,3199,356.4433943,497.6481368,122.6638595,1.775378954,0,210,0,0,1,1,0
63,63,,2,73,204.5901943,3172.708586,17.8954748,179.7572801,195,3085,356.4433943,497.6481368,122.6638595,1.775378954,0,210,0,0,1,1,0
64,64,,2,74,204.0001081,3145.155885,18.71209077,329.0076615,200,3137,356.444658,497.9380593,123.0261247,1.775378954,0,210,0,0,1,1,0
65,65,,2,75,195.6940509,3128.918333,15.3677023,223.862051,188,2922,356.444658,497.9380593,123.0261247,1.775378954,0,210,0,0,1,1,0
66,66,,2,76,199.4681602,3133.968653,16.40073529,265.5304869,200,3139,356.8250944,497.8982383,123.7859547,1.775378954,0,210,0,0,1,1,0
67,67,,2,77,197.7832014,3256.949463,17.50068221,257.2900844,188,3032,356.3243169,497.0218776,123.7859547,1.775378954,0,210,0,0,1,1,0
68,68,,2,78,187.4493041,3269.516369,15.70887977,276.6724643,187,3160,356.0739281,497.2096692,123.7859547,1.775378954,0,210,0,0,1,1,0
69,69,,2,79,185.4099287,3194.273314,16.422226,279.3683507,180,3028,355.5731506,497.5852523,123.7859547,1.775378954,0,210,0,0,1,1,0
70,70,,2,80,178.1186972,3274.055037,15.85606885,279.8380673,172,3075,355.8235393,497.147072,123.7859547,1.775378954,0,210,0,0,1,1,0
71,71,,2,81,173.9531311,3228.801721,16.11636214,292.8303979,171,3146,355.5731506,497.5226552,123.7859547,1.775378954,0,210,0,0,1,1,0
72,72,,2,82,170.2555235,3255.866154,15.19700759,310.0295636,167,3124,355.420976,497.4708879,124.7737337,1.775378954,0,210,0,0,1,1,0
73,73,,2,83,162.6879639,3238.852068,14.76477772,309.3636579,158,3024,355.420976,497.4708879,124.7737337,1.775378954,0,210,0,0,1,1,0
74,74,,2,84,159.0778082,3173.939023,12.49504547,250.2332584,152,2939,356.4851283,498.5350401,124.7737337,1.775378954,0,210,0,0,1,1,0
75,75,,2,85,156.3862346,3123.128406,12.04502933,191.2165187,154,3064,357.3515853,499.5071375,124.8108871,1.467255334,0,210,0,0,1,1,0
76,76,,2,86,151.9988767,3082.407311,11.32860122,170.7794336,151,3015,357.91496,499.8827207,124.8108871,1.467255334,0,210,0,0,1,1,0
77,77,,2,87,154.0150309,3071.596571,10.96489706,177.7813754,149,3003,358.1027516,500.0079151,124.8108871,1.467255334,0,210,0,0,1,1,0
78,78,,2,88,157.4739999,3108.858842,11.34819264,182.4666135,150,3025,358.1027516,500.0079151,124.8108871,1.467255334,0,210,0,0,1,1,0
79,79,,2,89,156.9401538,3019.423041,15.78402788,210.1666144,152,2867,358.8539179,500.0705122,124.8108871,1.467255334,0,210,0,0,1,1,0
80,80,407.3160177,2,90,165.2158083,2838.831591,14.71964699,258.0093405,159,2687,357.905846,498.6106309,125.8754639,1.467255334,0,210,0,0,1,1,0
81,81,416.0911582,2,91,177.0327509,2819.319766,17.65113822,289.2515928,171,2694,358.2683829,498.5145166,126.069414,1.467255334,0,210,0,0,1,1,0
82,82,384.932104,2,92,189.1185141,2772.297671,19.13105688,160.0793035,185,2718,359.5608026,500.4710369,125.4288459,1.467255334,0,210,0,0,1,1,0
83,83,,2,93,197.89501,2837.232707,17.67581936,165.5639662,191,2686,360.1867745,501.0344117,125.4288459,1.467255334,0,210,0,0,1,1,0
84,84,,2,94,217.052511,2881.033934,19.52202886,182.0367322,213,2823,360.4997605,501.3195229,125.9607269,1.467255334,0,210,0,0,1,1,0
85,85,483.8445823,2,95,225.117365,2858.467066,17.79538183,206.78043,217,2710,361.1478768,501.9674636,125.9244884,1.467255334,0,210,0,0,1,1,0
86,86,530.8348338,2,96,206.4305885,2576.045078,26.62282472,320.3764654,189,2360,362.0561323,502.2166514,125.4739642,1.467255334,0,210,0,0,1,1,0
87,87,525.8730244,2,97,235.9762247,2895.41781,26.1919167,195.9960781,235,2905,361.67346,500.5835672,126.0224947,1.467255334,0,210,0,0,1,1,0
88,88,524.5083309,2,98,231.1989426,2806.815912,22.92279164,252.6053342,228,2780,361.7306356,501.4373862,125.7430862,1.467255334,0,210,0,0,1,1,0
89,89,539.3125205,2,99,234.1362277,2790.968646,24.11513762,243.2002735,234,2846,361.7993476,501.1675861,125.9093957,1.467255334,0,210,0,0,1,1,0
90,90,538.1258302,2,100,224.3620481,2842.729932,23.2498129,233.0583311,216,2741,361.8538947,500.1899956,125.805015,1.467255334,0,210,0,0,1,1,0
91,91,567.0029644,2,101,222.7279145,2829.129522,21.99798021,249.2385305,206,2647,361.5193459,499.9156311,125.9758904,1.467255334,0,210,0,0,1,1,0
92,92,594.3344797,2,102,209.4887235,2871.197487,20.96318597,254.597751,193,2624,361.4945774,499.785926,125.741125,1.467255334,0,210,0,0,1,1,0
93,93,521.420924,2,103,205.3072795,2756.14584,19.94383028,245.8150662,193,2532,361.5544271,499.5736778,125.915561,1.467255334,0,210,0,0,1,1,0
94,94,462.6770911,2,105,198.3170984,2781.106717,16.43975593,213.2918682,194,2797,361.4830974,498.6400185,125.6720763,1.467255334,0,210,0,0,1,1,0
95,95,653.0647056,2,106,199.0224737,2824.818611,17.71368317,287.9685063,188,2662,360.6901451,497.2014084,127.5547107,1.467255334,0,210,0,0,1,1,0
96,96,566.7211056,2,107,188.6547554,2696.68843,17.57373435,282.5870421,179,2571,360.6459075,497.1115233,127.7010546,1.467255334,0,210,0,0,1,1,0
97,97,514.5895752,2,108,187.7980956,2745.670329,16.5754639,214.417884,179,2699,361.191166,497.4302051,126.8816978,1.467255334,0,210,0,0,1,1,0
98,98,559.7805263,2,109,181.1725624,2662.720819,15.04315817,265.4178368,175,2561,360.7552012,497.1944986,127.8638952,1.467255334,0,210,0,0,1,1,0
