"Label","ID","Detection quality","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot median intensity","Spot median intensity","Spot position","Spot position","Spot position","Spot radius","Spot track ID","Track N spots","TB","TB to PSM","TB to Somite","checked","other"
"",""," "," "," ","Mean ch0","Mean ch1","Std ch0","Std ch1","Median ch0","Median ch1","X","Y","Z"," "," "," ","Tag","Tag","Tag","Tag","Tag"
"","","","","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(micron)","","","","","","",""
"10","10","","2","106","118.26059073152888","1786.6139407812288","7.0125330192352235","174.40031010366835","118.0","1762.0","279.1878504781141","534.7769628548784","125.9980081036449","1.8620331561818848","0","122","0","0","0","1","0"
"11","11","","2","107","117.6343607803096","1744.4236889821013","6.4875433522361465","198.74534420856116","117.0","1734.0","278.60447596970937","536.1994059162982","126.37472238144967","1.8620331561818848","0","122","0","0","0","1","0"
"12","12","","2","108","117.87462549267039","1692.6060295184373","6.61357399176493","202.22546016879346","117.0","1660.0","278.4891065689384","537.3378723525179","126.65836112301116","1.8620331561818848","0","122","0","0","0","1","0"
"13","13","","2","109","118.27556181731848","1764.1988619701833","6.569279197410023","192.27836405319093","118.0","1748.0","278.4891065689384","537.6433393703878","127.01557852369703","1.8620331561818848","0","122","0","0","0","1","0"
"14","14","","2","110","118.94760052951146","1754.030109182371","7.676044056773517","223.90387842310736","116.0","1704.0","277.7762416211241","537.2360500132279","127.00846926152323","1.8620331561818848","0","122","0","0","0","1","0"
"15","15","","2","111","119.40781684866528","1781.0977287914582","7.010270481847929","225.09112180367325","117.0","1661.0","278.0817551701873","538.1524510668378","127.02446510141428","1.8620331561818848","0","122","0","0","0","1","0"
"16","16","","2","112","118.94433350841268","1790.0876106950452","7.273719934155402","246.720449526164","118.0","1678.0","277.97991732049957","539.1706744597376","127.04223825684878","1.8620331561818848","0","122","0","0","0","1","0"
"17","17","","2","113","120.78874031467868","1712.1477017981895","8.227722117490398","203.15223363734228","118.0","1652.0","277.3503316805171","540.8090437603228","128.7421312123077","1.8620331561818848","0","122","0","0","0","1","0"
"18","18","","2","114","120.46363960086619","1820.1411263135878","7.414099582212028","100.92335271661626","119.0","1784.0","276.8503436594997","542.6541283634696","130.8854356164229","1.4672553341771257","0","122","0","0","0","1","0"
