"Label","ID","Detection quality","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot median intensity","Spot median intensity","Spot track ID","Track N spots","TBtoPSMd","TBtoSom","TBtoSom25","TBtoTB","checked"
"",""," "," "," ","Mean ch0","Mean ch1","Std ch0","Std ch1","Median ch0","Median ch1"," "," ","Tag","Tag","Tag","Tag","Tag"
"","","","","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","","","","","","",""
"1766","1766","","1","282","384.3180279690073","237.62299767057627","91.23270562743807","25.685680069028667","","","0","87","0","0","0","1","1"
"1767","1767","","1","282","246.80530393303974","363.96117096849133","54.210743353970386","52.96595722267448","","","3","239","0","0","0","1","1"
"1768","1768","109.49849406983678","2","281","172.59034852333912","426.08397082371874","23.95019976240297","53.39630772915363","","","3","239","0","0","0","1","1"
"1769","1769","124.82736796992116","2","280","180.66152899544406","432.6848495551009","29.60341310147767","55.659629636445295","","","3","239","0","0","0","1","1"
"1770","1770","124.18567696496586","2","279","198.43109911413478","445.53216737116156","32.53768335216744","54.26200515454898","","","3","239","0","0","0","1","1"
"1771","1771","114.33732383760875","2","278","202.13728617686328","445.05558192909854","34.969939183303495","54.31682379079554","","","3","239","0","0","0","1","1"
"1772","1772","96.68153179727447","2","277","191.82082711147484","446.35808078133016","29.939198935284747","58.0562756278922","","","3","239","0","0","0","1","1"
"1773","1773","83.31345323752677","2","276","222.7834798008462","397.0946850943574","46.279517720652095","50.369954006466706","","","3","239","0","0","0","1","1"
"1774","1774","77.90840512946124","2","275","225.89539344736295","370.3183182218996","41.48007618928279","53.297202538673055","","","3","239","0","0","0","1","1"
"1775","1775","97.83121192073577","2","274","220.25282783470635","392.21154175794567","45.07520186470631","56.80773500970674","","","3","239","0","0","0","1","1"
"1776","1776","103.51717645562024","2","273","194.07179793619576","395.9256551490749","26.750604124872556","55.659457746982305","","","3","239","0","0","0","1","1"
"1777","1777","112.35410412771229","2","272","196.60479117109944","414.0149808136268","24.37933074819302","61.64737895154311","","","3","239","0","0","0","1","1"
"1778","1778","116.42912302317214","2","271","189.49428925584516","422.4094531507982","19.474801106361735","64.87710104147352","","","3","239","0","0","0","1","1"
"1779","1779","116.89819703023801","2","270","180.59446610406548","422.2621086605863","21.531331391336128","61.78392010706023","","","3","239","0","0","0","1","1"
"1780","1780","143.8130551780374","2","268","151.35700707483176","441.6931817494416","15.52485778423658","67.27381988233329","","","3","239","0","0","0","1","1"
"1781","1781","159.90659444544502","2","267","159.2836875534533","440.9156983674778","16.631274990043778","73.091119583607","","","3","239","0","0","0","1","1"
"1782","1782","153.59210263619923","2","266","148.84348844061037","428.938231571997","14.889330886128995","63.74155740201351","","","3","239","0","0","0","1","1"
"1783","1783","166.2580654296024","2","265","145.64706775490652","442.34303355434866","13.383092104728439","70.29849672928482","","","3","239","0","0","0","1","1"
"1784","1784","158.64137522626507","2","263","155.07562265714856","446.7186108043623","18.457532794889175","70.13411543137398","","","3","239","0","0","0","1","1"
"1785","1785","159.83532030161646","2","262","142.03230901256924","443.2146655261578","13.170360891798246","67.38414364629672","","","3","239","0","0","0","1","1"
"1786","1786","176.90869621525337","2","261","149.76394379566258","465.2194809403323","14.398243135195635","72.64264850458606","","","3","239","0","0","0","1","1"
"1787","1787","184.1554998148926","2","260","163.44256373305217","471.5757908151535","17.1541913401543","75.34706710775409","","","3","239","0","0","0","1","1"
"1788","1788","196.25950171430827","2","259","164.5026790090994","473.40306802877564","18.915887005326887","77.75053625330105","","","3","239","0","0","0","1","1"
"1789","1789","179.8267926703502","2","258","165.98838108647803","441.4932588887071","22.093756343209158","76.57093138302936","","","3","239","0","0","0","1","1"
"1790","1790","192.42743055384196","2","257","188.05808588462608","457.64693278673803","23.983931994059073","79.95890053676803","","","3","239","0","0","0","1","1"
"1791","1791","174.68999073263916","2","256","191.08348218932753","452.0503723224503","24.417213023480194","70.8500237757042","","","3","239","0","0","0","1","1"
"1792","1792","191.68591080257775","2","254","211.86943151320605","448.6834014232633","34.97305091781693","80.98959731309445","","","3","239","0","0","0","1","1"
"1793","1793","216.6814633110029","2","253","215.32406060230258","484.83154253933986","40.76841873229334","87.98073930881979","","","3","239","0","0","0","1","1"
"1794","1794","237.64768673698012","2","252","234.65027209106515","508.5019570878246","46.960271911280856","89.40195470833827","","","3","239","0","0","0","1","1"
"1795","1795","254.44962028253923","2","251","233.24636840119842","531.4746149433454","46.6157465169918","91.25392099929583","","","3","239","0","0","0","1","1"
"1796","1796","258.44632005670957","2","250","257.5063839177762","538.6073254091546","56.76471674490654","89.96108567041804","","","3","239","0","0","0","1","1"
"1797","1797","246.44847513460292","2","249","282.5534741568637","543.6594675546364","60.11465837938641","84.92364815426285","","","3","239","0","0","0","1","1"
"1798","1798","268.76292363407765","2","248","256.990711048593","561.7991592901149","62.434335333634905","94.70983901629666","","","3","239","0","0","0","1","1"
"1799","1799","231.62160472590915","2","247","279.04923624789853","538.9352109491307","55.43588961182825","76.95063109197595","","","3","239","0","0","0","1","1"
"1800","1800","227.55687692990773","2","246","290.1817107386652","534.6129028442605","57.44179217498387","78.87934873329124","","","3","239","0","0","0","1","1"
"1801","1801","230.29331606455312","2","245","244.8273630782706","539.3582164393906","63.72509124181259","73.51796084691131","","","3","239","0","0","0","1","1"
"1802","1802","238.53269357372858","2","244","274.9057756633044","543.8541053396428","72.75452489097871","84.23281882672144","","","3","239","0","0","0","1","1"
"1803","1803","250.92722621280288","2","243","291.9204791408386","557.177048032325","62.96940578959775","89.82413641851497","","","3","239","0","0","0","1","1"
"1804","1804","251.94573543224791","2","242","254.50016149220042","553.3023321040097","62.6635269979225","88.6968109116083","","","3","239","0","0","0","1","1"
"1805","1805","273.31989811363974","2","241","225.75789520564783","579.5485703410119","48.49654403508621","94.52326177110892","","","3","239","0","0","0","1","1"
"1806","1806","299.25960287129567","2","236","183.18205208420895","630.2161647851667","25.7742313309771","107.07792551943953","","","3","239","0","0","0","1","1"
"1807","1807","282.8563161877736","2","235","162.69028815102212","616.8378144253032","21.390086159060786","96.46114862532345","","","3","239","0","0","0","1","1"
"1808","1808","255.56611387015508","2","234","159.9623174451441","608.0340367042148","14.965816790829466","110.50478015046191","","","3","239","0","0","0","1","1"
"1809","1809","248.3188285024985","2","233","159.170232391567","609.0663500420303","16.128651187908776","102.17561873474995","","","3","239","0","0","0","1","1"
"1810","1810","284.8572455652716","2","232","148.4586702969509","623.5626512006543","12.054432740912677","116.55140265027784","","","3","239","0","0","0","1","1"
"1811","1811","278.4718045876207","2","231","154.90893364312535","624.5752276432341","14.940058141134582","111.80013145615408","","","3","239","0","0","0","1","1"
"1812","1812","274.1428936211061","2","230","157.12599714578397","646.5918776957179","16.404957115381134","118.39536021093025","","","3","239","0","0","0","1","1"
"1813","1813","296.0261101941954","2","229","157.38082686113367","657.6295815933734","13.65003561365584","120.88719353213722","","","3","239","0","0","0","1","1"
"1814","1814","300.1275882606473","2","228","157.57191663244282","670.3999901391261","13.605995233091859","115.59306356802131","","","3","239","0","0","0","1","1"
"1815","1815","227.33189072564718","2","227","182.8212993446159","709.930977143553","28.499434454105554","101.63465945017005","","","3","239","0","0","0","1","1"
"1816","1816","","2","226","192.12960963774955","755.6874726608278","21.264691891516087","109.5674935334139","","","3","239","0","0","0","1","1"
"1817","1817","","2","225","200.37657671303782","814.037667601015","20.53566261047565","110.67536898373069","","","3","239","0","0","0","1","1"
"1818","1818","331.09995324250764","2","224","199.59999536082486","825.1025537942502","19.19418412652642","98.51739679043486","","","3","239","0","0","0","1","1"
"1819","1819","348.4938440811543","2","223","200.89695318274704","841.8226983864895","15.983928608315475","95.42836992087751","","","3","239","0","0","0","1","1"
"1820","1820","378.09264788629935","2","220","189.61432030356522","855.5315534070419","18.85818418810757","144.20313671428156","","","3","239","0","0","0","1","1"
"1821","1821","382.81198908436517","2","219","191.77667258730887","881.9543928123645","19.27647257406921","140.97943670014257","","","3","239","0","0","0","1","1"
"1822","1822","410.97000838145493","2","217","193.39071149573584","947.0419804434429","18.07707691534689","131.55000627828494","","","3","239","0","0","0","1","1"
"1823","1823","386.28213210781644","2","214","186.54588532155455","981.8141248516682","21.453438442334306","140.79130587275802","","","3","239","0","0","0","1","1"
"1824","1824","367.39879065538156","2","213","176.59542491635438","986.0041688970026","16.709077189484564","147.8909301966058","","","3","239","0","0","0","1","1"
"1825","1825","367.91062936952784","2","211","161.0804506094434","961.2848419394255","12.652755671851931","156.1227469452478","","","3","239","0","0","0","1","1"
"1826","1826","390.2440887991468","2","210","159.9478977479082","976.8910019050883","12.388700861737748","155.76879844898855","","","3","239","0","0","0","1","1"
"1827","1827","504.71544627522843","2","209","155.70825452039836","1044.7840105941584","13.240222751026563","185.08061919362694","","","3","239","0","0","0","1","1"
"1828","1828","538.4982225482255","2","208","155.49964614200954","1069.0251846921096","11.713085631053175","179.3865382907511","","","3","239","0","0","0","1","1"
"1829","1829","599.794227793488","2","202","154.74995290060943","1175.9491767105806","12.387466409132166","187.2576558734595","","","3","239","0","0","0","1","1"
