"Label","ID","Detection quality","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot position","Spot position","Spot position","Spot radius","Spot track ID","Track N spots","TB","TB to PSM","TB to Somite","checked","other"
"",""," "," "," ","Mean ch0","Mean ch1","Std ch0","Std ch1","X","Y","Z"," "," "," ","Tag","Tag","Tag","Tag","Tag"
"","","","","","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(micron)","","","","","","",""
"41","41","620.603349723209","2","51","177.5005878433877","3099.000326537639","15.934540867837246","213.5370367186117","355.63238574623637","491.2571872577158","115.83790789484146","1.7753789543543217","0","210","0","0","1","1","0"
"42","42","586.25913847426","2","52","174.1237123178217","3027.4880399211283","14.211661680357514","198.30910807724882","355.68968875276437","490.82538733227057","116.10249094101253","1.7753789543543217","0","210","0","0","1","1","0"
"43","43","587.8171781693977","2","53","175.13113924531794","3029.4355532931504","14.828939670721418","208.27072030081567","356.25220327310046","491.8410103031345","116.60107687469358","1.7753789543543217","0","210","0","0","1","1","0"
"44","44","569.7371926100004","2","54","167.88946790994135","3001.871310120375","15.312112604368204","185.87299236694858","355.7879311145163","490.64496198125653","116.05472390889997","1.7753789543543217","0","210","0","0","1","1","0"
"45","45","590.6693219905511","2","55","161.5378741767855","3033.8712412593986","13.547450633126347","210.2911567296559","356.04957174591203","491.26716987351386","115.45336134608192","1.7753789543543217","0","210","0","0","1","1","0"
"46","46","580.1577303715134","2","56","161.6241060209985","2963.658359190895","14.144170856430394","203.15318610556847","355.837784744171","490.8706240803766","115.3052559102967","1.7753789543543217","0","210","0","0","1","1","0"
"47","47","611.7884702181369","2","57","159.41583514335682","3039.8565456377296","12.578083610662711","218.05594088501346","355.29711540492275","490.4016885385832","115.90539721698474","1.7753789543543217","0","210","0","0","1","1","0"
"48","48","682.5848084307595","2","58","164.04834201759712","3236.3062831709117","13.460526556034392","210.47092217825355","355.27598124170026","491.03579300414833","117.05249307361663","1.7753789543543217","0","210","0","0","1","1","0"
"49","49","713.5122685138147","2","59","158.19391960000976","3279.430481816869","13.905622985676986","252.98710496040184","354.7838411694147","492.2886603931566","117.66840362674623","1.7753789543543217","0","210","0","0","1","1","0"
"50","50","","2","60","156.38734426095078","3217.319285310752","11.72169248441438","192.70839206708524","355.2469036098331","492.5537521305067","117.84665940933384","1.7753789543543217","0","210","0","0","1","1","0"
