Label,ID,Link displacement,Link target IDs,Link target IDs,Link velocity
,, ,Source spot id,Target spot id, 
,,(micron),,,(micron/frame)
301 ? 207,213,0.0,301.0,207.0,0.0
207 ? 208,214,0.7173695429540190,207.0,208.0,0.7173695429540190
208 ? 209,215,1.3474331329478200,208.0,209.0,1.3474331329478200
209 ? 210,216,0.3368582832369290,209.0,210.0,0.3368582832369290
210 ? 211,217,0.8521915389783200,210.0,211.0,0.8521915389783200
211 ? 212,218,0.6737165664738800,211.0,212.0,0.6737165664738800
212 ? 213,219,0.0,212.0,213.0,0.0
213 ? 204,220,1.0105748497108400,213.0,204.0,1.0105748497108400
204 ? 205,221,0.33685828323695500,204.0,205.0,0.33685828323695500
205 ? 206,222,0.0,205.0,206.0,0.0
206 ? 10,223,0.7532380201017090,206.0,10.0,0.7532380201017090
10 ? 11,224,0.0,10.0,11.0,0.0
11 ? 12,225,1.176595400476010,11.0,12.0,1.176595400476010
343 ? 344,282,0.788038589217659,343.0,344.0,0.788038589217659
344 ? 345,283,0.3520221402600170,344.0,345.0,0.3520221402600170
345 ? 346,284,1.0563243669727600,345.0,346.0,1.0563243669727600
346 ? 347,285,0.4855434858136330,346.0,347.0,0.4855434858136330
347 ? 348,286,0.4148313665358810,347.0,348.0,0.4148313665358810
348 ? 349,287,1.3436352581126500,348.0,349.0,1.3436352581126500
349 ? 302,288,1.5476478221042200,349.0,302.0,1.5476478221042200
302 ? 303,289,0.7456970562992310,302.0,303.0,0.7456970562992310
303 ? 304,290,1.1619809976966000,303.0,304.0,1.1619809976966000
304 ? 305,291,0.34407904887467700,304.0,305.0,0.34407904887467700
305 ? 306,292,0.6806386009359180,305.0,306.0,0.6806386009359180
306 ? 307,293,1.2224295572810400,306.0,307.0,1.2224295572810400
307 ? 308,294,1.075484456551320,307.0,308.0,1.075484456551320
308 ? 309,295,2.174862514207840,308.0,309.0,2.174862514207840
309 ? 310,296,1.1058922974654600,309.0,310.0,1.1058922974654600
310 ? 311,297,0.9043698702775620,310.0,311.0,0.9043698702775620
311 ? 312,298,0.6712391783956390,311.0,312.0,0.6712391783956390
312 ? 313,299,0.5733411038649980,312.0,313.0,0.5733411038649980
313 ? 314,300,0.8982178256971220,313.0,314.0,0.8982178256971220
314 ? 315,301,0.9105559104712650,314.0,315.0,0.9105559104712650
315 ? 316,302,0.43926646651167100,315.0,316.0,0.43926646651167100
316 ? 317,303,0.4984579529321570,316.0,317.0,0.4984579529321570
317 ? 318,304,0.15599115591098700,317.0,318.0,0.15599115591098700
318 ? 319,305,0.7166145830034840,318.0,319.0,0.7166145830034840
319 ? 321,306,0.3847398422704060,319.0,321.0,0.3847398422704060
367 ? 368,307,0.6876064056755750,367.0,368.0,0.6876064056755750
321 ? 323,308,0.6800381728473120,321.0,323.0,0.6800381728473120
323 ? 324,309,0.39703214450729800,323.0,324.0,0.39703214450729800
324 ? 325,310,0.5330075481477940,324.0,325.0,0.5330075481477940
325 ? 326,311,0.4541325485077670,325.0,326.0,0.4541325485077670
326 ? 327,312,0.5741000941211650,326.0,327.0,0.5741000941211650
327 ? 328,313,1.0030868126546900,327.0,328.0,1.0030868126546900
328 ? 329,314,1.4329239263037000,328.0,329.0,1.4329239263037000
329 ? 330,315,1.0466224668536800,329.0,330.0,1.0466224668536800
330 ? 331,316,0.7354848444162070,330.0,331.0,0.7354848444162070
331 ? 332,317,0.5550347181161210,331.0,332.0,0.5550347181161210
332 ? 333,318,0.2237791509718310,332.0,333.0,0.2237791509718310
333 ? 334,319,1.023730313817020,333.0,334.0,1.023730313817020
171 ? 172,320,0.6162331374668990,171.0,172.0,0.6162331374668990
172 ? 173,321,0.6701072110935970,172.0,173.0,0.6701072110935970
173 ? 174,322,0.978871473514051,173.0,174.0,0.978871473514051
174 ? 175,323,0.617766558734263,174.0,175.0,0.617766558734263
175 ? 176,324,0.33555937590398700,175.0,176.0,0.33555937590398700
176 ? 177,325,0.6040571094913250,176.0,177.0,0.6040571094913250
177 ? 178,326,0.17890349487821200,177.0,178.0,0.17890349487821200
178 ? 179,327,0.3903458080875480,178.0,179.0,0.3903458080875480
179 ? 180,328,0.587961285507019,179.0,180.0,0.587961285507019
169 ? 170,329,0.446056669727279,169.0,170.0,0.446056669727279
342 ? 343,330,0.43243177035493600,342.0,343.0,0.43243177035493600
334 ? 320,331,0.46089323772855800,334.0,320.0,0.46089323772855800
320 ? 350,332,1.2988354364141900,320.0,350.0,1.2988354364141900
350 ? 351,333,0.9797986044756490,350.0,351.0,0.9797986044756490
351 ? 354,334,0.44916388593495800,351.0,354.0,0.44916388593495800
354 ? 353,335,0.48607056225592300,354.0,353.0,0.48607056225592300
353 ? 322,336,0.35036040077510800,353.0,322.0,0.35036040077510800
322 ? 355,337,0.4547774724450180,322.0,355.0,0.4547774724450180
355 ? 356,338,0.7916653165355960,355.0,356.0,0.7916653165355960
356 ? 357,339,1.2600545806319500,356.0,357.0,1.2600545806319500
357 ? 358,340,0.7155592088967100,357.0,358.0,0.7155592088967100
358 ? 359,341,1.1306525873050800,358.0,359.0,1.1306525873050800
359 ? 360,342,0.5300647667062620,359.0,360.0,0.5300647667062620
360 ? 361,343,0.8056302703679070,360.0,361.0,0.8056302703679070
361 ? 362,344,0.11593644536995000,361.0,362.0,0.11593644536995000
362 ? 363,345,0.7222140454704670,362.0,363.0,0.7222140454704670
363 ? 364,346,0.6270823427200140,363.0,364.0,0.6270823427200140
364 ? 365,347,0.3619028577130930,364.0,365.0,0.3619028577130930
365 ? 366,348,0.24349944269513700,365.0,366.0,0.24349944269513700
366 ? 367,349,0.829254726895495,366.0,367.0,0.829254726895495
8051 ? 516,350,1.9271808730543100,8051.0,516.0,1.9271808730543100
516 ? 517,351,0.7727747054354880,516.0,517.0,0.7727747054354880
517 ? 383,352,0.5012337278172650,517.0,383.0,0.5012337278172650
383 ? 384,353,0.3283022696222940,383.0,384.0,0.3283022696222940
384 ? 385,354,0.6949812430060240,384.0,385.0,0.6949812430060240
385 ? 386,355,0.5269716386384570,385.0,386.0,0.5269716386384570
386 ? 387,356,0.618980941559018,386.0,387.0,0.618980941559018
387 ? 388,357,1.2673788041792700,387.0,388.0,1.2673788041792700
388 ? 389,358,0.7619981080672960,388.0,389.0,0.7619981080672960
389 ? 390,359,1.012108644069300,389.0,390.0,1.012108644069300
390 ? 8050,360,0.812248116299625,390.0,8050.0,0.812248116299625
8050 ? 382,361,1.585302612877530,8050.0,382.0,1.585302612877530
7120 ? 8054,362,1.3446309573528400,7120.0,8054.0,1.3446309573528400
8054 ? 8051,363,2.2971981387735200,8054.0,8051.0,2.2971981387735200
7502 ? 7503,364,2.209204327212830,7502.0,7503.0,2.209204327212830
7503 ? 7504,365,0.8153632482002470,7503.0,7504.0,0.8153632482002470
7504 ? 1278,366,0.3385611610094990,7504.0,1278.0,0.3385611610094990
1278 ? 7506,367,2.1356266745456000,1278.0,7506.0,2.1356266745456000
7506 ? 7495,368,0.9627779924744960,7506.0,7495.0,0.9627779924744960
7495 ? 7494,369,2.90837893557438,7495.0,7494.0,2.90837893557438
7494 ? 1282,370,0.7429090689980900,7494.0,1282.0,0.7429090689980900
1282 ? 7120,371,1.5318003059622000,1282.0,7120.0,1.5318003059622000
18511 ? 18512,372,0.695046859138012,18511.0,18512.0,0.695046859138012
18512 ? 18513,373,0.7362392080159890,18512.0,18513.0,0.7362392080159890
18513 ? 18514,374,1.2936729676942800,18513.0,18514.0,1.2936729676942800
