"Label","ID","Detection quality","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot median intensity","Spot median intensity","Spot position","Spot position","Spot position","Spot radius","Spot sum intensity","Spot sum intensity","Spot track ID","Track N spots"
"",""," "," "," ","Mean ch0","Mean ch1","Std ch0","Std ch1","Median ch0","Median ch1","X","Y","Z"," ","Median ch0","Median ch1"," "," "
"","","","","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(micron)","(Counts)","(Counts)","",""
"0","0","","2","178","122.79718719792315","1929.8166938350378","7.484893306047749","251.3996360951815","123.0","1991.0","365.9061612563916","435.5519557285863","129.39311970397392","1.6350799082655796","46272.0","703024.0","0","183"
"1","1","","2","177","123.12456912164461","1983.2920894219758","7.9962264389084305","160.44952132431393","123.0","2054.0","366.53282150702785","435.62281818374396","130.3281333027704","1.6350799082655796","41860.0","655107.0","0","183"
"2","2","","2","176","123.36363433348545","1826.1740831895518","6.874396264819431","125.54668927747451","123.0","1867.0","366.4875919209945","436.2111125063631","130.34149412472485","1.6350799082655796","47636.0","698672.0","0","183"
"3","3","","2","169","128.83230761382288","1755.9937024952087","7.953033357098242","98.58714053309771","128.0","1771.0","366.5769740400861","439.23766348133734","129.4683196080295","1.6350799082655796","39317.0","532734.0","0","183"
"4","4","","2","170","127.94736485392141","1724.5743942873228","7.763083097638566","94.84285718533852","127.0","1734.0","366.5769740400861","439.23766348133734","129.4683196080295","1.6350799082655796","43808.0","592148.0","0","183"
"5","5","","2","171","127.52586644991499","1690.852758367173","7.633561425399312","122.81474018635545","127.0","1693.5","366.5243898843595","438.4046800788188","129.46987902432093","1.6350799082655796","41129.0","536647.0","0","183"
"6","6","","2","172","127.852388916246","1804.8967070776407","8.089447008797427","115.93875795231696","127.0","1847.0","365.75615289770434","438.16437013510097","130.49837280470982","1.6350799082655796","47364.0","662563.0","0","183"
"7","7","","2","173","127.26756680804473","1797.4840749810594","7.740713142979441","121.73776479646625","127.0","1851.0","365.75615289770434","438.16437013510097","130.49837280470982","1.6350799082655796","46405.0","654503.0","0","183"
"8","8","","2","174","125.4940947629485","1758.5724050597412","7.143145223507982","119.64071906626681","126.0","1807.5","366.27255514556566","437.4959714024919","130.3931783100926","1.6350799082655796","46382.0","646578.0","0","183"
"9","9","","2","175","124.54800808040376","1789.6386067826622","7.455538380516268","148.7353423896809","124.0","1834.0","365.9802355903398","436.7618523744483","130.4440164549512","1.6350799082655796","44108.0","628366.0","0","183"
"10","10","","1","10","180.59625169636556","3635.899536846443","13.481061767965372","291.24178879393423","182.0","3706.5","385.81020998742457","434.82462273374836","123.20394788264736","2.7618414951596093","106293.0","2140782.0","0","183"
"11","11","","2","11","180.0578776733211","3855.7890834864706","13.216906731698902","299.46389800939716","181.0","3933.0","386.1786998630901","435.2628030712856","124.42751862100266","2.7618414951596093","109165.0","2348812.0","0","183"
"12","12","","2","12","174.48462929023185","3763.48375644625","13.477483788303354","279.63735401319184","175.5","3809.5","386.0999657888511","435.9584654439248","123.10198365445109","2.510764995599645","76711.0","1657471.0","0","183"
"13","13","","2","13","173.44922594062007","4007.9447950794715","13.177391639053909","307.42717960733484","173.0","4107.0","385.91217421562084","435.895868252848","124.52948284919896","2.510764995599645","75467.0","1755872.0","0","183"
"14","14","","2","14","170.77048742501873","4130.320873421187","12.950889250204654","295.15881452559626","170.0","4236.5","386.6562472377469","436.59153062548717","125.34519667476917","2.510764995599645","77452.0","1876436.0","0","183"
"15","15","","2","15","163.83916827581027","4051.126999278595","11.454788836694734","243.57707619497629","163.0","4156.5","386.3916719318501","438.15646040240586","124.83537553378778","2.510764995599645","75295.0","1858305.0","0","183"
"16","16","","2","16","163.00087708158264","3985.1576621360337","12.08798921150917","277.05727657999495","163.0","4022.0","387.5436018667613","438.3442519756361","125.75305358755428","2.510764995599645","78673.0","1923426.0","0","183"
"17","17","","2","17","161.14998300735246","3977.2724326233883","12.42539936809465","232.12190993267063","162.0","4079.0","387.04282433814734","439.4708298056204","125.73338909838522","2.510764995599645","76113.0","1873936.0","0","183"
