"Label","ID","Detection quality","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot median intensity","Spot median intensity","Spot position","Spot position","Spot position","Spot radius","Spot track ID","Track N spots","PSMdtoSom","PSMdtoSomDiv","TBto Som"
"",""," "," "," ","Mean ch0","Mean ch1","Std ch0","Std ch1","Median ch0","Median ch1","X","Y","Z"," "," "," ","Tag","Tag","Tag"
"","","","","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(micron)","","","","",""
"44","44","","2","44","169.29850680226937","3501.2005556044755","13.073867119635963","232.9396347214782","168.0","3510.0","380.84667680349304","452.233744615634","127.66849674780762","2.0750123930575572","0","183","1","0","0"
"45","45","","2","45","178.64406965023971","3554.4737603670706","15.157353043496062","234.39682811534385","177.0","3577.0","380.8353199874892","452.54650702869867","127.67179886405387","2.0750123930575572","0","183","1","0","0"
"46","46","","2","46","188.84582286299369","3519.086438105817","14.787965838504968","230.24180493754227","187.0","3474.0","380.60253568538656","453.7908683243924","127.67413161563839","2.0750123930575572","0","183","1","0","0"
"47","47","","2","47","201.15866922169644","3688.6970216020804","14.932677975780882","276.2801756593671","201.0","3756.0","380.66014101145373","453.9572271278743","127.23520562929504","2.0750123930575572","0","183","1","0","0"
"48","48","627.2640106994186","2","48","207.21797719745157","3553.0367037785177","16.80288928163697","222.0981643056805","205.0","3526.0","380.38153673002046","453.5459720061796","127.5167668971275","2.0750123930575572","0","183","1","0","0"
"49","49","618.9513872887978","2","49","208.93102049446","3520.016132778891","19.31545205068057","229.85196038289254","202.0","3387.0","380.359058229485","453.51683247508134","127.20943938401295","2.0750123930575572","0","183","1","0","0"
"50","50","634.2974939054903","2","50","209.47814360053343","3553.319217881655","18.56443706281088","234.97979230141522","206.0","3502.0","379.4991160542228","453.8575749921853","127.8664223852464","2.0750123930575572","0","183","1","0","0"
"51","51","622.8934191484966","2","51","212.62143521086662","3555.560206602239","16.834421336296835","227.44570231198787","205.0","3492.0","378.56921058649","454.1950751595425","127.65064976422212","2.0750123930575572","0","183","1","0","0"
"52","52","661.2362850534005","2","52","215.81796073407273","3641.792518796935","17.585253878167094","231.9571181669257","211.0","3635.0","378.03433050931574","454.04245069723834","127.92677494148056","2.0750123930575572","0","183","1","0","0"
"53","53","792.7270540297825","2","53","217.54094136954427","3760.9525891999315","20.18223960628325","300.05138370261625","213.0","3738.0","377.5016217415549","453.561815399434","127.81037156593334","2.0750123930575572","0","183","1","0","0"
"54","54","774.5885010714919","2","54","210.03756092506234","3651.5150195729852","17.666350711451233","321.2292152371251","202.0","3493.0","377.04328987475736","452.7223242762058","128.08201105382682","2.0750123930575572","0","183","1","0","0"
"55","55","865.3222820215423","2","55","208.94466943403782","3690.761677437765","18.47198043286011","342.1436831629151","202.0","3614.0","376.66396193259345","452.85035237234945","127.95808823829768","2.0750123930575572","0","183","1","0","0"
"56","56","768.3183016998227","2","56","195.05696672733717","3552.4642689282127","15.957194672404178","331.4038367899858","190.0","3467.0","376.3181165659481","452.9819581484953","127.50893521972921","2.0750123930575572","0","183","1","0","0"
"57","57","644.7459925968595","2","57","185.71704099699394","3490.4207077156907","15.596051165824056","245.72160389726477","183.0","3442.0","376.37289798188414","452.5439603472512","125.97426715644266","2.0750123930575572","0","183","1","0","0"
"58","58","665.861798628486","2","58","185.98530809457804","3357.2442981462573","15.869413143916299","284.5527980234148","182.0","3286.0","374.8030957174476","452.6130183221881","128.50765997665","2.0750123930575572","0","183","1","0","0"
