"Label","ID","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot median intensity","Spot median intensity","Spot median intensity","Spot position","Spot position","Spot position","Spot radius","Spot track ID","Track N spots","H","HtoL","adaxials","checked"
"",""," "," ","Mean ch0","Mean ch1","Mean ch2","Std ch0","Std ch1","Std ch2","Median ch0","Median ch1","Median ch2","X","Y","Z"," "," "," ","Tag","Tag","Tag","Tag"
"","","","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(micron)","","","","","",""
"19","19","2","17","576.3463080151613","107.19103198229291","6264.311121297009","48.32406764305348","3.812946442059724","1806.1468820737484","577.0","107.0","5416.0","363.7859268235476","391.93501497594264","52.711937731182715","2.7618414951596093","0","59","0","1","0","1"
"20","20","2","46","145.8309499075475","214.9532195305834","4709.749346448615","10.006755522915414","29.386707355588637","1269.2840402380286","145.0","213.0","4438.0","368.0293009302828","303.1933414517743","33.922047753685995","2.7618414951596093","0","59","0","1","0","1"
"21","21","2","41","165.76356047454388","170.9234063231354","5265.602768651472","12.270239862912238","19.195241777332026","2796.1124582685748","164.0","170.0","4235.0","366.85951722043274","310.609958167112","31.546794130445946","2.7618414951596093","0","59","0","1","0","1"
"22","22","2","40","167.81241417427043","156.848082328944","7082.417257214013","13.552563866416634","17.997198765180126","2889.7910637101204","175.0","162.0","6823.0","367.6998908579094","313.4675205900672","33.759835376817826","2.7618414951596093","0","59","0","1","0","1"
"23","23","2","34","216.69440116517805","125.04351913267743","8728.65151020724","20.28243191721332","8.937665492760638","3521.3797975807383","212.0","123.0","8375.0","362.6957643936822","344.5828376038674","42.131664818255864","2.7618414951596093","0","59","0","1","0","1"
"24","24","2","28","292.29513986233775","109.90250669153872","7665.65274617309","25.456675789113383","4.897720734539582","2541.6896915776765","294.0","109.0","6975.0","357.1329459758116","352.30202219679","49.96524029118988","2.7618414951596093","0","59","0","1","0","1"
"25","25","2","32","231.22474808940098","116.80865320136616","7876.5629342364455","20.653563036447483","7.73644572327507","2475.8397315163597","226.0","116.0","7228.0","360.61380880379807","353.964962217748","44.04977779769313","2.7618414951596093","0","59","0","1","0","1"
"26","26","2","31","253.45254088157935","115.92254725077797","7209.966088573189","20.970930105884417","6.4950333131557665","2131.6618706941504","250.0","117.0","7111.0","359.47211751296726","352.30130960821026","50.006064463582845","2.7618414951596093","0","59","0","1","0","1"
"27","27","2","30","262.113061838391","112.12737032809179","6063.448613644844","19.654190413262864","5.766454065960301","1561.5993095362153","261.0","113.0","5908.0","356.2232681558066","352.30229931457103","49.94936422414817","2.7618414951596093","0","59","0","1","0","1"
"28","28","2","42","158.58992802389383","181.96082560701825","5136.469867168726","11.851932699234817","21.46997055360767","1955.0288068357872","158.0","181.0","4344.0","366.85951722043274","308.9639828477998","34.29008632929964","2.7618414951596093","0","59","0","1","0","1"
"29","29","2","18","544.4414344055101","107.37711974760869","6154.551624503565","48.886124196536215","3.552829977358549","1556.1963587889177","546.0","107.0","5683.0","362.35663104766905","385.2507346120545","51.201222084479845","2.7618414951596093","0","59","0","1","0","1"
"30","30","2","16","560.5525231404071","107.23533462074728","5219.895818895242","50.79235295220881","3.5775402868138024","1297.4719558459374","564.0","107.0","4887.0","365.4753284892712","395.0435648206692","57.86223396021563","2.7618414951596093","0","59","0","1","0","1"
"31","31","2","15","592.4094721132309","107.14866092977441","5748.782885872624","59.95680449359059","3.571381630536849","1488.1089778562152","577.0","107.0","5542.0","365.4753284892712","397.9697431661131","63.71459065110352","2.7618414951596093","0","59","0","1","0","1"
"32","32","2","14","572.1694442952405","107.43609594471843","5656.415247016495","58.44350066637885","3.835340840157709","1239.6843959112123","580.0","107.0","5548.0","365.4753284892712","401.62746609791805","69.9327196351719","2.7618414951596093","0","59","0","1","0","1"
"33","33","2","13","521.4269243702234","107.04787039065","4665.210401382788","43.69348242318926","3.4855377464467616","882.6414315428799","526.0","107.0","4518.0","366.3853230153116","400.58803218460304","75.94755314988431","2.7618414951596093","0","59","0","1","0","1"
"34","34","2","12","508.861671506584","106.73275591525515","4970.028010811763","54.005937661150035","3.5544136910446475","1434.9042590360336","515.0","106.0","4896.0","366.3853230153116","398.39339842552005","81.0683652544112","2.7618414951596093","0","59","0","1","0","1"
"35","35","2","11","494.2311402108138","106.95667384141312","5103.600113828667","44.95438144283082","3.5210271368011434","723.6953900634093","498.0","107.0","5098.0","366.3853230153116","393.6383586141736","87.83515267825032","2.7618414951596093","0","59","0","1","0","1"
"36","36","2","47","139.4825400703167","221.16015188277404","4722.686384330488","9.462553349740805","30.123598581865966","1224.7353351670038","139.0","219.0","4306.0","368.0293009302828","301.18159383928156","26.423715743485893","2.7618414951596093","0","59","0","1","0","1"
"37","37","2","64","121.77786901939105","336.945849684766","11480.14329276098","6.344948074956678","49.559891383495305","2776.5371920587054","121.0","331.0","10825.0","370.5088381526403","255.9718678871523","46.67748666055293","2.7618414951596093","0","59","0","1","0","1"
"38","38","2","59","123.74231429977871","294.3816381051574","16284.632168951697","6.922261793495623","45.304345997593295","6241.431360492585","123.0","293.0","14037.0","369.2069231145101","263.40016744302113","47.29271928151537","2.7618414951596093","0","59","0","1","0","1"
"39","39","2","65","121.79079854614837","326.7905807745077","9437.228989040168","6.718634166657304","54.3088109438846","2650.2239738160592","121.0","335.0","9072.0","369.0804924948681","252.2053599741403","46.5210040171497","2.7618414951596093","0","59","0","1","0","1"
"40","40","2","45","147.30481785155595","211.54069701502462","5415.77005966856","10.419885270580277","25.69096269605983","2007.047194081475","145.0","198.0","4690.0","368.0293009302828","305.936633650628","30.630097115061552","2.7618414951596093","0","59","0","1","0","1"
"41","41","2","44","148.4113452333113","199.2165087345066","5388.199959684624","11.100829147947081","23.836384852196502","1695.279137378348","147.0","203.0","4881.0","368.0293009302828","307.5826089699402","29.71566638211032","2.7618414951596093","0","59","0","1","0","1"
"42","42","2","43","154.791993141278","193.76355220029345","6120.141128532499","11.83256575081605","23.199185035413706","1868.5675733107566","153.0","197.0","5868.0","366.9897483125002","308.05468106345313","34.26060462279552","2.7618414951596093","0","59","0","1","0","1"
"43","43","2","22","433.4014206372571","107.65492044426709","7494.26773898785","41.37302074262103","3.9587308239434424","2615.8689813026986","431.0","108.0","7687.0","359.2397546657707","357.77803944734353","60.79132241047343","2.7618414951596093","0","59","0","1","0","1"
"44","44","2","29","271.055579701616","111.36198302592025","6433.22429286303","21.846229134104977","5.288873019367599","1881.6845175072433","270.0","111.0","6045.0","356.9755725828313","352.283917982896","51.00243001053145","2.7618414951596093","0","59","0","1","0","1"
"45","45","2","33","233.5206681956704","121.42610736790785","8320.451450513436","18.110539437800455","8.066324970248887","2925.348654246299","232.0","121.0","8070.0","361.91402154698767","351.2076997049232","42.34937612081398","2.7618414951596093","0","59","0","1","0","1"
"46","46","2","35","215.10439268786982","129.57000494115795","10762.909603536611","17.701221349611565","8.782061620911472","4239.496847641585","213.0","129.0","8455.0","362.6957643936822","339.2791393527503","39.20548647281192","2.7618414951596093","0","59","0","1","0","1"
"47","47","2","36","209.27447428190794","135.26212511023695","9629.850372929297","15.102146700828444","10.79640180144389","4697.271484767381","210.0","137.0","6853.0","363.60694656735564","334.3428674561828","39.04900693826829","2.7618414951596093","0","59","0","1","0","1"
"48","48","2","21","450.03514937836763","107.32143375042033","8093.518036342598","50.23404591080977","3.781960398742392","2353.4255920293363","467.0","107.0","8247.0","360.242827235137","363.5752181407023","57.16360524537733","2.7618414951596093","0","59","0","1","0","1"
"49","49","2","20","484.3160865937138","106.5505313329958","7624.972108504888","52.55641799204217","3.5436403058716675","2199.658243937396","510.0","106.0","7037.0","362.4271381981198","369.6816743733862","52.030946226367924","2.7618414951596093","0","59","0","1","0","1"
"50","50","2","19","531.4193059037856","106.75998936278741","5804.550209422554","42.47064073746118","3.6387705531858536","1279.3295786323588","521.0","106.0","5724.0","362.7865192916832","377.43498374302857","54.71606655863963","2.7618414951596093","0","59","0","1","0","1"
"51","51","2","56","127.10897224285414","268.37153179333063","13198.164863585207","7.646504215032136","37.76959030769323","5183.423956495505","126.0","250.0","11793.0","367.9064728417939","266.3881391127257","41.15623069736951","2.7618414951596093","0","59","0","1","0","1"
"52","52","2","63","121.98601417527048","326.8349656203829","10416.321509754525","6.441057661243316","46.44185675855459","2445.158504530295","122.0","328.0","9887.0","370.37757776595765","260.0755431103942","43.35005909871656","2.7618414951596093","0","59","0","1","0","1"
"53","53","2","58","125.82158988392197","290.1583053181748","13733.219978819718","7.264824242406604","40.085842395339576","5159.993039115561","126.0","287.0","12587.0","369.2069231145101","263.40016744302113","47.29271928151537","2.7618414951596093","0","59","0","1","0","1"
"54","54","2","52","131.82891337240062","259.16509717109426","10731.92492054402","8.102756713360828","38.958086212779","3069.5010158361824","131.0","258.0","10422.0","370.374212764331","270.8243370964626","38.97466978011675","2.7618414951596093","0","59","0","1","0","1"
"55","55","2","51","134.08965458851443","260.4140110086637","7241.408407820213","8.179947616365576","36.12482825432987","3402.2714084861327","134.0","258.0","6091.0","369.72289895097606","276.4390828557338","37.128473395048374","2.7618414951596093","0","59","0","1","0","1"
"56","56","2","50","137.72985695537395","250.4004018857325","6629.829927430637","8.92304874362232","37.93497137711796","2818.709430886697","137.0","250.0","5620.0","369.85063598301434","283.71314083621735","37.38473913327784","2.7618414951596093","0","59","0","1","0","1"
"57","57","2","44","206.33225941759534","152.5227990693292","4749.202537526027","24.035902958983378","16.731941612553968","1459.5816006102448","208.0","152.0","4191.0","388.83321875396916","303.53011827193797","38.53935239800523","2.7618414951596093","17","33","0","1","0","1"
"58","58","1","66","126.86280701930559","249.59244352005194","6515.794905806082","7.7948621314659015","37.314922805286976","2239.6656619452174","125.0","238.0","6604.0","375.54015383774794","256.6780931072876","37.605940201440156","2.7618414951596093","12","56","0","1","0","1"
"59","59","2","49","136.91467551578023","232.0377852699469","5247.231314106336","8.710019788583493","34.20514486075377","2233.9945346450672","136.0","232.0","4875.0","368.2906736442696","293.63212228457434","32.29567467225938","2.7618414951596093","0","59","0","1","0","1"
"60","60","2","48","139.1330983911371","238.90590432037047","4308.589899286841","9.563455119458418","35.919882664343795","813.3911462510607","138.0","233.0","4203.0","368.0293009302828","299.1698462267889","29.53278023552007","2.7618414951596093","0","59","0","1","0","1"
"61","61","2","37","185.91162655902238","134.46036619193117","4734.036949694581","15.64285437818528","11.115427516495673","1569.2765081720609","187.0","132.0","4465.0","361.01537943584003","330.00667769646196","32.28722708549305","2.7618414951596093","5","47","0","1","0","1"
"62","62","2","36","178.21342403527072","120.76859591072369","6352.144672638878","16.037403629252474","7.353261359817844","1612.3091628907018","194.0","130.0","4486.0","358.8587734117025","336.3107449890966","30.892656135348375","2.7618414951596093","5","47","0","1","0","1"
"63","63","2","35","174.41646683860188","117.51163141533952","6518.701536442586","13.012923581865358","6.6939564261903834","1426.5943075215587","201.0","128.0","5177.0","358.24836385628083","342.91648887956813","31.04642129090354","2.7618414951596093","5","47","0","1","0","1"
"64","64","2","34","208.30248451291774","124.39277143524457","4853.083370477981","17.681953496952964","8.754626059235664","1045.417004427741","214.0","124.0","4621.0","356.341819142799","348.8829355767835","34.7407184936896","2.7618414951596093","5","47","0","1","0","1"
"65","65","2","33","229.6200281046677","121.54048612275493","4750.008723423221","18.46977323556499","8.284073821077683","879.8138179114737","227.0","121.0","4396.0","355.0665322406327","354.0749202275518","33.499102032644814","2.7618414951596093","5","47","0","1","0","1"
"66","66","2","32","230.92706464168106","115.91394596033962","4681.666207798391","19.987143239626224","6.678211677347516","911.1378984129889","234.0","114.0","4324.0","354.25219672340836","354.91411180078046","38.83522008442153","2.7618414951596093","5","47","0","1","0","1"
"67","67","2","31","226.12576347397263","116.20459144725083","5426.0771533159805","17.409010295881302","6.4228265950438095","1555.4317084282713","237.0","112.0","5084.0","353.84070312110686","355.63437414659296","43.097065180465556","2.7618414951596093","5","47","0","1","0","1"
"68","68","2","30","244.22881526715662","112.97228066822213","6251.880464526964","19.50161988257718","5.5521193139424305","2032.5358096614634","242.0","113.0","5366.0","351.877561670205","355.8939656212363","40.691945898951204","2.7618414951596093","5","47","0","1","0","1"
"69","69","2","29","241.97267171119574","112.34196473395565","5277.717360692253","19.4513718226467","5.600865421550223","1328.7450570166927","240.0","112.0","4710.0","350.9272261775563","355.505192027215","39.90110499602979","2.7618414951596093","5","47","0","1","0","1"
"70","70","2","28","255.00783447368272","110.83632567783987","5092.101151285203","20.064457345670764","4.912501308174628","1207.5824254533732","254.0","111.0","4762.0","350.9272261775563","355.505192027215","39.90110499602979","2.7618414951596093","5","47","0","1","0","1"
"71","71","2","27","261.4089216692534","110.4136004363849","5088.483851426863","20.099654614677046","4.449759987778119","1334.9437986208527","259.0","110.0","4754.0","350.9272261775563","355.505192027215","39.90110499602979","2.7618414951596093","5","47","0","1","0","1"
"72","72","2","26","273.04222275659384","109.7958676615967","6334.131065068905","22.279019086075742","4.522639210472254","1683.861988855039","269.0","110.0","6501.0","351.42621435813237","356.01164605182953","46.386717726693085","2.7618414951596093","5","47","0","1","0","1"
"73","73","2","25","291.2530601118685","109.53939072219494","5721.849313992587","23.314361737603974","4.733054233384326","1105.0342268845097","289.0","110.0","5581.0","352.61690987919684","356.2103661007552","52.88514028541356","2.7618414951596093","5","47","0","1","0","1"
"74","74","2","24","312.1826977605585","108.49082979926204","7714.807000776681","27.910853789386028","4.303630773218459","1908.8967448092415","314.0","108.0","7333.0","353.95503578104524","356.0798359307187","49.70845669571083","2.7618414951596093","5","47","0","1","0","1"
"75","75","2","23","321.4593091445028","107.98292853913027","7937.284211519896","26.566752958553423","3.9330120456322946","2023.1271732550858","322.0","108.0","7362.0","353.26165252045814","356.91768577062953","55.78922081643615","2.7618414951596093","5","47","0","1","0","1"
"76","76","2","22","358.9603458771829","107.34636712025807","5552.059237409306","33.36253060206995","3.731128302347945","1434.8691803521058","368.0","107.0","5192.0","353.26165252045814","363.86735934105894","50.11975027213851","2.7618414951596093","5","47","0","1","0","1"
"77","77","2","21","368.8156952696295","107.37067917445779","5437.834482951776","37.15757343293045","4.237413803943455","1330.773830946055","400.0","107.0","5372.0","352.25251064152536","368.8190477234786","44.8158646860385","2.7618414951596093","5","47","0","1","0","1"
"78","78","1","65","122.63196412232239","279.0400244953073","6512.951780361884","6.854148645798611","41.8139993909042","1428.1340179746655","122.0","280.0","5952.0","385.47256229649236","264.35082166925207","44.07213662685506","2.7618414951596093","18","58","0","1","0","1"
"79","79","2","64","121.51390522339035","259.72120722233836","6096.802405347713","6.778483129241314","45.13411038207994","1421.632410292642","122.0","261.0","5774.0","385.34493099357843","268.1890911523665","44.44019245009272","2.7618414951596093","18","58","0","1","0","1"
"80","80","2","63","122.58431638894629","266.16665906228167","5926.436887603523","7.145645911531393","42.744538712897516","1196.8218777754967","122.0","274.0","5691.0","384.0103629619008","270.4121662789889","42.35879954284944","2.7618414951596093","18","58","0","1","0","1"
"81","81","2","62","123.28162249867471","262.5218120604611","4957.215172708094","7.07665918763898","38.20603284368796","946.6994509297633","123.0","268.0","4637.0","384.1571139814398","271.3291589507101","47.477050098801996","2.7618414951596093","18","58","0","1","0","1"
"82","82","2","61","122.7444417948886","254.50875748342958","6046.1856613306345","7.328751812537326","37.9311676153728","1073.7309150959354","122.0","255.0","5821.0","383.9912063113127","273.1551240463272","44.5537676825122","2.7618414951596093","18","58","0","1","0","1"
"83","83","2","60","124.348143958947","254.38248186222643","6437.792281622651","7.540496641606421","35.263786467026875","1889.1273881830748","124.0","257.0","5847.0","384.0741513987535","273.88811666511737","47.66138436265963","2.7618414951596093","18","58","0","1","0","1"
"84","84","2","59","124.81671253173883","244.47619798461764","6325.2298424484525","7.5909578945625915","35.64664836710897","1669.6663282315137","125.0","254.0","5531.0","382.86083009219595","273.5529024313181","46.49230581890827","2.7618414951596093","18","58","0","1","0","1"
"85","85","2","58","126.57031278114246","253.00136099881635","4963.110276370557","7.573440755250389","38.31769201186964","1045.4685136088292","125.0","244.0","4798.0","381.34679067901556","274.19196174838913","44.20642699382139","2.7618414951596093","18","58","0","1","0","1"
"86","86","2","57","126.9971006769108","235.36275039966287","5214.346177575244","8.060898759102233","44.436820648385805","1243.9911538947947","127.0","237.0","5006.0","381.2255527015182","275.1042759422122","41.64813715832691","2.7618414951596093","18","58","0","1","0","1"
"87","87","2","25","296.9279347917946","109.03425900928559","4491.141371951692","31.736782020581714","4.526153146175834","671.0424321664584","287.0","109.0","4495.0","362.76136237876096","358.02131894536717","52.205768307082295","2.7618414951596093","3","40","0","1","0","1"
"88","88","1","24","317.8681857086292","108.26275929615895","4612.454902567772","42.62971954233164","4.08679429721271","707.0518291909403","302.0","108.0","4427.0","363.7338252055844","358.1744452847891","50.01210709789093","2.7618414951596093","3","40","0","1","0","1"
"89","89","2","37","252.11261261122445","130.26103073138518","11547.65479164352","31.585259097590605","11.337036289045397","4144.645936630208","245.0","129.0","10361.0","370.64090633915004","338.13546372107646","34.41169286012698","2.7618414951596093","12","56","0","1","0","1"
"90","90","2","36","278.6074930087863","126.00279538853337","10216.697607356837","33.39779791261708","9.528099230731915","4476.198021608771","271.0","126.0","9018.0","369.0732077958073","341.8647090221821","34.93593890530065","2.7618414951596093","12","56","0","1","0","1"
"91","91","2","35","314.4620853867663","121.4736944042522","12419.093481048032","39.10791620186682","7.627490639711768","5319.414839437527","316.0","123.0","10689.0","367.3694540329124","348.4252743745597","35.858064913831164","2.7618414951596093","12","56","0","1","0","1"
"92","92","2","34","317.81054228651334","119.74279785495355","10160.753167486979","40.29643978039432","7.745023852054943","3769.6388417194244","319.0","120.0","9441.0","364.19912667375115","353.401916899793","40.544496366620265","2.7618414951596093","12","56","0","1","0","1"
"93","93","2","33","350.76090645056877","118.6158048621352","9276.656193187859","58.16264269487602","6.820697899550807","3858.5860687230934","345.0","118.0","7838.0","362.75891361877007","359.3871354323124","38.85402219794842","2.7618414951596093","12","56","0","1","0","1"
"94","94","2","32","355.21789437532146","117.24506039589825","10035.51583890219","45.51324985987369","6.505516585426959","3855.3061395297227","355.0","117.0","10387.0","361.97492612562786","360.21879566143895","41.50270834645336","2.7618414951596093","12","56","0","1","0","1"
"95","95","2","31","372.6844829451469","114.12238124034614","11438.938110384084","50.59638231677004","5.899089576276974","4544.035879350692","356.0","115.0","10290.0","362.2376375047167","360.57823403004284","44.24806574183761","2.7618414951596093","12","56","0","1","0","1"
"96","96","2","30","367.38504351614","113.34522118171262","9569.425960808649","45.32337985596429","5.836713834595632","3389.9990558320897","366.0","113.0","8979.0","360.93596765576245","359.83046006636255","41.44827520562977","2.7618414951596093","12","56","0","1","0","1"
"97","97","2","29","357.1513859787813","110.96823928746572","10527.419036819909","42.04798240736027","4.913413967290517","3711.5029695187245","358.0","111.0","9371.0","361.58555858700225","360.6920940979446","44.5755347752501","2.7618414951596093","12","56","0","1","0","1"
"98","98","2","28","340.08857312318224","109.31686367919392","9851.095907586492","48.39914145188997","4.651026956584513","3232.581274673867","331.0","109.0","8558.0","360.9367969845874","360.1758779040322","44.50308037619448","2.7618414951596093","12","56","0","1","0","1"
"99","99","2","27","382.6070080370749","110.3804833647052","8251.211295840589","54.50042044957872","4.798400656595263","2890.1019318539948","382.0","110.0","7074.0","361.4566908839325","360.17698232722466","44.50316728587154","2.7618414951596093","12","56","0","1","0","1"
"100","100","2","26","393.7918107924004","109.23407474932539","5904.730971166767","55.59369763757579","4.196694742716439","1404.3596322315432","398.0","109.0","5585.0","362.5073965712093","359.9249642775275","50.66734374871596","2.7618414951596093","12","56","0","1","0","1"
"101","101","2","25","424.4826035330698","108.05508704712257","4533.936955125472","66.2780217073501","4.057598666188489","620.6436594539937","400.0","109.0","4493.0","363.40759553774825","359.66244340972816","57.28276537573729","2.7618414951596093","12","56","0","1","0","1"
"102","102","2","24","451.4953691701924","107.75211193764764","5019.314159063414","83.51980756072363","3.781033310277151","861.1733804517099","431.0","107.0","4733.0","363.25846366760146","360.72388960348655","54.13736420250279","2.7618414951596093","12","56","0","1","0","1"
"103","103","2","23","496.0394433797149","107.4750305811565","5409.937838481199","93.49350273465582","3.67537470055762","927.9025136318352","483.0","107.0","5194.0","364.00856836857986","360.4981214012578","59.850707872592245","2.7618414951596093","12","56","0","1","0","1"
"104","104","2","22","513.8016012757865","107.39764443081303","5640.623866221006","90.5508467788907","3.662184062644729","1938.9996358782414","512.0","108.0","5234.0","364.6576064139364","367.83530224936914","56.43023904594337","2.7618414951596093","12","56","0","1","0","1"
"105","105","2","21","509.2084089637592","107.13114927102781","5407.249513665205","82.51668003478163","3.565758557546168","1526.7047292123805","503.0","107.0","5080.0","364.6576064139364","373.5047727936668","51.858085381187195","2.7618414951596093","12","56","0","1","0","1"
"106","106","2","20","494.91972513581334","106.54871281616981","5367.590516194508","74.07542712777673","3.5030905595307376","1362.914868322241","492.0","106.0","5263.0","365.03481046313016","379.7919835508427","49.03240389417191","2.7618414951596093","12","56","0","1","0","1"
"107","107","2","19","519.2084960988617","106.86868957343229","4941.116270563622","86.02385388009864","3.6315826066037187","896.3851094334946","509.0","107.0","4907.0","365.15013246205996","387.1624906566258","52.185640726634745","2.7618414951596093","12","56","0","1","0","1"
"108","108","2","18","553.3502186725724","107.30110562360329","4981.8187588453575","98.5894040347877","3.6080993797583414","1009.963143535356","533.0","107.0","4845.0","365.15013246205996","394.47793652023563","48.16214550164932","2.7618414951596093","12","56","0","1","0","1"
"109","109","2","17","548.7459132805059","107.29718704048467","4951.331273008915","94.5492337321619","3.338015615673556","848.7909906138473","545.0","107.0","4781.0","366.05911745708903","401.44989728676273","54.98334433889276","2.7618414951596093","12","56","0","1","0","1"
"110","110","2","16","513.1071415192117","107.17531084668043","4974.845746044344","78.82536800232502","3.566056255106046","793.5717849170043","495.0","107.0","4878.0","366.05911745708903","404.37607563220666","61.75013176273188","2.7618414951596093","12","56","0","1","0","1"
"111","111","2","15","496.40038879963157","106.83139193979548","4854.257997855803","71.80594258455638","3.5554325323326794","822.1410734269031","497.0","107.0","4866.0","366.83840542022347","407.19555615171987","67.45590555252475","2.7618414951596093","12","56","0","1","0","1"
"112","112","2","14","498.89188912151104","106.77660210292102","5051.696170867982","69.09919825555518","3.5136486062546806","1059.2513485572913","479.0","107.0","4957.0","367.22583785825765","410.5493984742713","74.0197638298496","2.7618414951596093","12","56","0","1","0","1"
