"Label","ID","Detection quality","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot median intensity","Spot median intensity","Spot median intensity","Spot position","Spot position","Spot position","Spot radius","Spot sum intensity","Spot sum intensity","Spot sum intensity","Spot track ID","Track N spots","Honly","HtoL","checked","last peak"
"",""," "," "," ","Mean ch0","Mean ch1","Mean ch2","Std ch0","Std ch1","Std ch2","Median ch0","Median ch1","Median ch2","X","Y","Z"," ","Median ch0","Median ch1","Median ch2"," "," ","Tag","Tag","Tag","Tag"
"","","","","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(micron)","(Counts)","(Counts)","(Counts)","","","","","",""
"38","38","","2","17","415.16044640889584","106.35890157832155","6102.164851249187","66.43962101593814","3.456992843138176","1803.8567957358043","421.0","106.0","5841.5","366.7933261999122","398.7826714712151","39.74294653114632","2.2825136323633135","104356.0","27135.0","1569891.0","11","54","0","1","1","1"
"39","39","","2","16","443.94224959427765","106.52213037335495","6153.434500882605","84.3535086892958","3.2505241750270373","2220.387341742772","459.0","106.0","5203.0","367.6543838790607","402.28285787866054","46.38581689730997","2.2825136323633135","129246.0","31032.0","1797152.0","11","54","0","1","1","1"
"40","40","","2","15","454.429218734759","106.20173335143315","6665.871177720544","91.20085358132089","3.351792063295191","2277.8937821829923","486.5","106.0","6144.0","369.1054948115245","403.9494426852274","51.6125662476319","2.2825136323633135","118208.0","27789.0","1802251.0","11","54","0","1","1","1"
"41","41","","2","14","525.8982466227434","106.5800100923794","7534.50323701681","63.559750628345355","3.5145371880782337","3435.4973415576355","540.5","106.0","6707.5","369.8469580387241","407.8268709798312","57.88342681890125","2.2825136323633135","140914.0","27899.0","1972598.0","11","54","0","1","1","1"
"42","42","","2","13","502.45846488041985","106.81403572705402","6889.182766062091","56.15006153868122","3.2028029228157244","2434.3388509986003","508.0","107.0","6220.0","369.0453648244523","409.49344736388747","63.93387421652861","2.2825136323633135","136715.0","28596.0","1836757.0","11","54","0","1","1","1"
"43","43","","1","78","123.55084129446591","209.77891873537735","10730.371406209784","7.422278269502636","25.18552207489877","5299.430746428129","123.0","209.0","8932.5","367.1711428192362","264.2946707224573","51.78380732968195","2.8966437973668793","71591.0","120799.0","6269105.0","17","37","0","1","1","1"
"44","44","","2","17","532.3421638535041","107.458982820931","6396.004200584398","51.747026556177474","3.81514283937204","1499.008767472042","541.5","108.0","6245.0","354.3638658935633","395.43418698948324","50.27642526327382","1.8863749027795975","83636.0","16899.0","987950.0","3","49","0","1","1","1"
"45","45","","2","16","581.2195044020885","107.07234952196535","7314.207427194607","52.925327234064675","3.097384118012496","2819.9682246046928","598.0","107.0","5921.5","355.903578583433","398.89716221660564","58.02146549978117","1.8863749027795975","88493.0","16267.0","1147360.0","3","49","0","1","1","1"
"46","46","","2","15","600.2942083597636","106.92041892220645","6085.813967605994","51.8586177693168","3.6175676764462197","1542.8886705253526","611.0","107.0","5662.5","357.2053270109214","401.06629496920897","61.265638919797716","1.8863749027795975","95365.0","16918.0","969213.0","3","49","0","1","1","1"
"47","47","","2","59","132.28811874566156","229.90277602439585","3954.3277702885134","8.199308732706115","34.99720714926628","426.6710058491952","132.0","238.0","3905.0","373.63428626794786","274.2423902995901","40.37955423110509","2.2825136323633135","38954.0","68052.0","1166904.0","15","50","0","1","1","1"
"48","48","","2","58","134.7429194459887","227.53312003471208","3955.5177886546203","8.397991322515562","23.937244165301333","394.29614548870273","135.0","233.0","3891.0","373.8171724145381","274.1913214457974","37.45382155679642","2.2825136323633135","39281.0","67155.0","1140616.0","15","50","0","1","1","1"
"49","49","","2","57","134.79280694791296","230.38964613327366","4431.750766440923","8.5363817636829","25.554521988380614","742.6418479760401","135.0","237.0","4278.0","372.1585938009844","275.1419349556826","34.8648548693882","2.2825136323633135","38179.0","65811.0","1252657.0","15","50","0","1","1","1"
"50","50","","2","56","136.98134263127358","223.65960311408702","4141.3647668339345","8.923789702140773","23.547347248782735","575.7215148122099","136.0","228.0","4015.0","371.7928215078039","277.59507201108437","32.85341365580099","2.2825136323633135","39950.0","65534.0","1192139.0","15","50","0","1","1","1"
"51","51","","2","55","138.79701981393683","216.63408100652103","4195.56799139201","9.958721619124603","25.020980145602064","462.68540072884736","139.0","221.0","4106.0","373.62168297370636","277.54719496065377","30.110539273636615","2.2825136323633135","39991.0","63028.0","1207832.0","15","50","0","1","1","1"
"52","52","","2","54","138.05500782669742","207.1846856422349","3840.0560245652387","9.814237202093276","25.362001866367272","377.1371884878191","137.0","212.0","3739.5","373.62168297370636","277.52804414048154","29.01338952077086","2.2825136323633135","37186.0","56265.0","1040700.0","15","50","0","1","1","1"
"53","53","","2","53","140.18225411903578","200.4855255738568","3770.8725705149536","9.556724702247923","22.576491836560688","455.52587187625124","141.0","207.0","3637.5","373.4387968271161","277.58230479763625","32.12198048722382","2.2825136323633135","36674.0","52848.0","984689.0","15","50","0","1","1","1"
"54","54","","2","52","141.7311381935921","183.29814314964977","3840.8890301450774","9.569224262854595","20.86957700270881","585.6450022657422","141.0","189.0","3721.5","374.9315175793144","282.06114920392804","32.148036024873136","2.2825136323633135","36134.0","47127.0","964864.0","15","50","0","1","1","1"
"55","55","","2","51","145.94260094150619","190.58246002893924","4339.756561161794","10.759903613917846","23.806077777217453","1369.2872991948489","147.0","199.0","3861.5","372.77536538169466","287.2035261148556","32.11040024826856","2.2825136323633135","37789.0","49947.0","1144270.0","15","50","0","1","1","1"
"56","56","","2","50","147.13276854820808","193.3590060486419","8071.743507505078","10.912734049926623","22.350737508187287","2950.1583768015694","147.0","199.0","7602.0","375.4290911633805","295.2775386394896","29.048130237636606","2.2825136323633135","39086.0","51836.0","2146955.0","15","50","0","1","1","1"
"57","57","","2","49","148.6272380077996","178.97629609714394","6332.020071949371","11.128202864951591","20.687568402555357","2444.996890176487","150.0","182.0","5374.5","373.09005281917047","303.68650921980355","26.084761786723366","2.2825136323633135","39643.0","47732.0","1694411.0","15","50","0","1","1","1"
"58","58","","2","48","150.3917835419911","177.236571356992","7117.067927339406","11.184245592237003","18.57887418400962","1922.7544312185837","151.0","183.5","6999.0","372.75833709645974","307.3359379953006","26.07897166724574","2.2825136323633135","40005.0","47101.0","1899369.0","15","50","0","1","1","1"
"59","59","","2","47","154.13253155302326","171.28568341914448","8195.649925620053","10.938674094135669","19.587259043362266","2405.5662967313638","155.0","174.0","8079.5","372.81997884178423","310.3971627839117","23.636899765319136","2.2825136323633135","43536.0","48709.0","2305365.0","15","50","0","1","1","1"
"60","60","","2","46","156.100581592818","175.91766879979397","6614.048714399832","11.905692560573746","20.052517013168828","2228.7754734842115","156.0","178.0","5871.0","374.6734730501332","312.7268276443563","28.625731120745776","2.2825136323633135","46154.0","52067.0","1926919.0","15","50","0","1","1","1"
"61","61","","2","45","161.99581978040064","168.27312993424653","8164.616133909374","12.574624954736151","17.491985924637763","3119.5021829542075","164.0","174.0","6669.5","375.4220459217291","315.19911551993044","27.708544600285503","2.2825136323633135","41052.0","42867.0","2120674.0","15","50","0","1","1","1"
"62","62","","2","44","168.9864352787671","164.39360228045393","10044.505828287989","13.211511308648493","19.751759467227618","2943.2675677252273","169.5","169.0","10465.5","375.2561880603737","316.85794678151996","27.705649540546688","2.2825136323633135","43209.0","42062.0","2426133.0","15","50","0","1","1","1"
